number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
153;153;Common;;Recherche d'Énergie;Energy Search;Trainer;NoColor;;Kai Ishikawa;https://www.pokepedia.fr/images/f/f5/Carte_Expedition_153.png;https://images.pokemontcg.io/ecard1/153.png;ecard1
154;154;Common;;Guérison Totale;Full Heal;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/d/db/Carte_Expedition_154.png;https://images.pokemontcg.io/ecard1/154.png;ecard1
155;155;Common;;Lait Meumeu;Moo-Moo Milk;Trainer;NoColor;;Tomokazu Komiya;https://www.pokepedia.fr/images/b/bd/Carte_Expedition_155.png;https://images.pokemontcg.io/ecard1/155.png;ecard1
156;156;Common;;Potion;Potion;Trainer;NoColor;;Keiji Kinebuchi;https://www.coleka.com/media/item/20160624/expedition-potion.JPG;https://images.pokemontcg.io/ecard1/156.png;ecard1
157;157;Common;;Transfert;Switch;Trainer;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/5/58/Carte_Expedition_157.png;https://images.pokemontcg.io/ecard1/157.png;ecard1
158;158;Rare;;Énergie Obscurité;Darkness Energy;Energy;NoColor;;Milky Isobe;https://www.pokepedia.fr/images/0/0f/Carte_Expedition_158.png;https://images.pokemontcg.io/ecard1/158.png;ecard1
159;159;Rare;;Énergie Métal;Metal Energy;Energy;NoColor;;Milky Isobe;https://www.pokepedia.fr/images/5/53/Carte_Expedition_159.png;https://images.pokemontcg.io/ecard1/159.png;ecard1
160;160;Common;;Énergie Combat;Fighting Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/c/cc/Carte_Expedition_160.png;https://images.pokemontcg.io/ecard1/160.png;ecard1
161;161;Common;;Énergie Feu;Fire Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/9/96/Carte_Expedition_161.png;https://images.pokemontcg.io/ecard1/161.png;ecard1
162;162;Common;;Énergie Plante;Grass Energy;Energy;NoColor;;Keiji Kinebuchi;;https://images.pokemontcg.io/ecard1/162.png;ecard1
163;163;Common;;Énergie Electrique;Lightning Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/7/7b/Carte_Expedition_163.png;https://images.pokemontcg.io/ecard1/163.png;ecard1
164;164;Common;;Énergie Psy;Psychic Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/c/ce/Carte_Expedition_164.png;https://images.pokemontcg.io/ecard1/164.png;ecard1
165;165;Common;;Énergie Eau;Water Energy;Energy;NoColor;;Keiji Kinebuchi;https://www.pokepedia.fr/images/0/08/Carte_Expedition_165.png;https://images.pokemontcg.io/ecard1/165.png;ecard1
