number;rank;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
43;43;Rare;;Dracolosse;Dragonite;Pokémon;Colorless;149;Kagemaru Himeno;;https://images.pokemontcg.io/ecard1/43.png;ecard1
44;44;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Masako Yamashita;;https://images.pokemontcg.io/ecard1/44.png;ecard1
45;45;Rare;;Rapasdepic;Fearow;Pokémon;Colorless;22;Kyoko Umemoto;;https://images.pokemontcg.io/ecard1/45.png;ecard1
46;46;Rare;;Aligatueur;Feraligatr;Pokémon;Water;160;Hiromichi Sugiyama;;https://images.pokemontcg.io/ecard1/46.png;ecard1
47;47;Rare;;Aligatueur;Feraligatr;Pokémon;Water;160;Mitsuhiro Arita;;https://images.pokemontcg.io/ecard1/47.png;ecard1
48;48;Rare;;Ectoplasma;Gengar;Pokémon;Psychic;94;Yukiko Baba;;https://images.pokemontcg.io/ecard1/48.png;ecard1
49;49;Rare;;Grolem;Golem;Pokémon;Fighting;76;Aya Kusube;;https://images.pokemontcg.io/ecard1/49.png;ecard1
50;50;Rare;;Krabboss;Kingler;Pokémon;Water;99;Shin-ichi Yoshida;;https://images.pokemontcg.io/ecard1/50.png;ecard1
51;51;Rare;;Mackogneur;Machamp;Pokémon;Fighting;68;Shin-ichi Yoshida;;https://images.pokemontcg.io/ecard1/51.png;ecard1
52;52;Rare;;Magby;Magby;Pokémon;Fire;240;Mitsuhiro Arita;;https://images.pokemontcg.io/ecard1/52.png;ecard1
53;53;Rare;;Méganium;Meganium;Pokémon;Grass;154;Kagemaru Himeno;;https://images.pokemontcg.io/ecard1/53.png;ecard1
54;54;Rare;;Méganium;Meganium;Pokémon;Grass;154;Hajime Kusajima;;https://images.pokemontcg.io/ecard1/54.png;ecard1
55;55;Rare;;Mew;Mew;Pokémon;Psychic;151;Hajime Kusajima;;https://images.pokemontcg.io/ecard1/55.png;ecard1
56;56;Rare;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Kimiya Masago;;https://images.pokemontcg.io/ecard1/56.png;ecard1
57;57;Rare;;Feunard;Ninetales;Pokémon;Fire;38;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/57.png;ecard1
58;58;Rare;;Pichu;Pichu;Pokémon;Lightning;172;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/58.png;ecard1
59;59;Rare;;Roucarnage;Pidgeot;Pokémon;Colorless;18;Tomokazu Komiya;;https://images.pokemontcg.io/ecard1/59.png;ecard1
60;60;Rare;;Tartard;Poliwrath;Pokémon;Water;62;Yuka Morii;;https://images.pokemontcg.io/ecard1/60.png;ecard1
61;61;Rare;;Raichu;Raichu;Pokémon;Lightning;26;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/61.png;ecard1
62;62;Rare;;Galopa;Rapidash;Pokémon;Fire;78;Kagemaru Himeno;;https://images.pokemontcg.io/ecard1/62.png;ecard1
63;63;Rare;;Airmure;Skarmory;Pokémon;Metal;227;Kimiya Masago;;https://images.pokemontcg.io/ecard1/63.png;ecard1
64;64;Rare;;Typhlosion;Typhlosion;Pokémon;Fire;157;Hiroaki Ito;;https://images.pokemontcg.io/ecard1/64.png;ecard1
65;65;Rare;;Typhlosion;Typhlosion;Pokémon;Fire;157;K.  Hoshiba;;https://images.pokemontcg.io/ecard1/65.png;ecard1
66;66;Rare;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Kimiya Masago;;https://images.pokemontcg.io/ecard1/66.png;ecard1
67;67;Rare;;Florizarre;Venusaur;Pokémon;Grass;3;Atsuko Nishida;;https://images.pokemontcg.io/ecard1/67.png;ecard1
68;68;Rare;;Florizarre;Venusaur;Pokémon;Grass;3;Shin-ichi Yoshida;;https://images.pokemontcg.io/ecard1/68.png;ecard1
69;69;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Miki Tanaka;https://www.pokepedia.fr/images/d/d1/Carte_Expedition_69.png;https://images.pokemontcg.io/ecard1/69.png;ecard1
70;70;Rare;;Smogogo;Weezing;Pokémon;Grass;110;Hajime Kusajima;https://www.pokepedia.fr/images/a/a7/Carte_Expedition_70.png;https://images.pokemontcg.io/ecard1/70.png;ecard1
71;71;Uncommon;;Macronium;Bayleef;Pokémon;Grass;153;Mitsuhiro Arita;https://www.pokepedia.fr/images/4/49/Carte_Expedition_71.png;https://images.pokemontcg.io/ecard1/71.png;ecard1
72;72;Uncommon;;Leveinard;Chansey;Pokémon;Colorless;113;Sumiyoshi Kizuki;https://www.pokepedia.fr/images/3/36/Carte_Expedition_72.png;https://images.pokemontcg.io/ecard1/72.png;ecard1
