rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
149;113;Common;;Tentacool;Tentacool;Pokémon;Water;72;Hajime Kusajima;https://www.pokepedia.fr/images/b/b9/Carte_Aquapolis_113.png;https://images.pokemontcg.io/ecard2/113.png;ecard2
150;114;Common;;Togepi;Togepi;Pokémon;Colorless;175;Miki Tanaka;https://www.pokepedia.fr/images/3/37/Carte_Aquapolis_114.png;https://images.pokemontcg.io/ecard2/114.png;ecard2
151;115;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;Keiji Kinebuchi;https://www.pokepedia.fr/images/d/d3/Carte_Aquapolis_115.png;https://images.pokemontcg.io/ecard2/115.png;ecard2
152;116;Common;;Goupix;Vulpix;Pokémon;Fire;37;Keiko Fukuyama;https://www.pokepedia.fr/images/4/4e/Carte_Aquapolis_116.png;https://images.pokemontcg.io/ecard2/116.png;ecard2
153;117;Common;;Axoloto;Wooper;Pokémon;Water;194;Keiko Fukuyama;https://www.pokepedia.fr/images/b/b7/Carte_Aquapolis_117.png;https://images.pokemontcg.io/ecard2/117.png;ecard2
154;118;Rare;;Forêt de Noigrumes;Apricorn Forest;Trainer;NoColor;;Midori Harada;https://www.pokepedia.fr/images/a/ae/Carte_Aquapolis_118.png;https://images.pokemontcg.io/ecard2/118.png;ecard2
155;119;Uncommon;;Cube d'Obscurité 01;Darkness Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/0/09/Carte_Aquapolis_119.png;https://images.pokemontcg.io/ecard2/119.png;ecard2
156;120;Uncommon;;Échange d'énergie;Energy Switch;Trainer;NoColor;;Mikio Menjo;https://www.pokepedia.fr/images/5/5b/Carte_Aquapolis_120.png;https://images.pokemontcg.io/ecard2/120.png;ecard2
157;121;Uncommon;;Cube de Combat 01;Fighting Cube 01;Trainer;NoColor;;« Big Mama » Tagawa;https://www.pokepedia.fr/images/1/11/Carte_Aquapolis_121.png;https://images.pokemontcg.io/ecard2/121.png;ecard2
158;122;Uncommon;;Cube de Feu 01;Fire Cube 01;Trainer;NoColor;;Big Mama Tagawa;https://www.pokepedia.fr/images/4/42/Carte_Aquapolis_122.png;https://images.pokemontcg.io/ecard2/122.png;ecard2
159;123;Uncommon;;Gardien de la Forêt;Forest Guardian;Trainer;NoColor;;Ken Sugimori;https://www.pokepedia.fr/images/1/16/Carte_Aquapolis_123.png;https://images.pokemontcg.io/ecard2/123.png;ecard2
160;124;Uncommon;;Cube Plante 01;Grass Cube 01;Trainer;NoColor;;Big Mama Tagawa;https://www.pokepedia.fr/images/c/c5/Carte_Aquapolis_124.png;https://images.pokemontcg.io/ecard2/124.png;ecard2
161;125;Uncommon;;Baie de Soin;Healing Berry;Trainer;NoColor;;Shin-ichi Yoshida;https://www.pokepedia.fr/images/5/50/Carte_Aquapolis_125.png;https://images.pokemontcg.io/ecard2/125.png;ecard2
