rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Mizue;https://www.pokepedia.fr/images/thumb/f/f9/Carte_Légendes_Brillantes_1.png/431px-Carte_Légendes_Brillantes_1.png;https://images.pokemontcg.io/sm35/1_hires.png;sm35
2;2;Common;;Herbizarre;Ivysaur;Pokémon;Grass;2;Kouki Saitou;https://www.pokepedia.fr/images/thumb/1/14/Carte_Légendes_Brillantes_2.png/431px-Carte_Légendes_Brillantes_2.png;https://images.pokemontcg.io/sm35/2_hires.png;sm35
3;3;Uncommon;;Florizarre;Venusaur;Pokémon;Grass;3;Eske Yoshinob;https://www.pokepedia.fr/images/thumb/3/3b/Carte_Légendes_Brillantes_3.png/431px-Carte_Légendes_Brillantes_3.png;https://images.pokemontcg.io/sm35/3_hires.png;sm35
4;4;Common;;Balignon;Shroomish;Pokémon;Grass;285;kawayoo;https://www.pokepedia.fr/images/thumb/f/ff/Carte_Légendes_Brillantes_4.png/431px-Carte_Légendes_Brillantes_4.png;https://images.pokemontcg.io/sm35/4_hires.png;sm35
5;5;Common;;Chapignon;Breloom;Pokémon;Grass;286;Mizue;https://www.pokepedia.fr/images/thumb/1/14/Carte_Légendes_Brillantes_5.png/431px-Carte_Légendes_Brillantes_5.png;https://images.pokemontcg.io/sm35/5_hires.png;sm35
6;6;Uncommon;;Vortente;Carnivine;Pokémon;Grass;455;Tomokazu Komiya;https://www.pokepedia.fr/images/thumb/0/07/Carte_Légendes_Brillantes_6.png/431px-Carte_Légendes_Brillantes_6.png;https://images.pokemontcg.io/sm35/6_hires.png;sm35
7;7;Rare Holo;;Shaymin;Shaymin (Sky Forme);Pokémon;Grass;492;Mizue;https://www.pokepedia.fr/images/thumb/5/5f/Carte_Légendes_Brillantes_7.png/431px-Carte_Légendes_Brillantes_7.png;https://images.pokemontcg.io/sm35/7_hires.png;sm35
8;8;Rare Holo;;Viridium;Virizion;Pokémon;Grass;640;kawayoo;https://www.pokepedia.fr/images/thumb/e/e4/Carte_Légendes_Brillantes_8.png/431px-Carte_Légendes_Brillantes_8.png;https://images.pokemontcg.io/sm35/8_hires.png;sm35
9;9;Ultra;Brillant;Genesect Brillant;Shining Genesect;Pokémon;Grass;649;Hitoshi Ariga;https://www.pokepedia.fr/images/thumb/2/27/Carte_Légendes_Brillantes_9.png/431px-Carte_Légendes_Brillantes_9.png;https://images.pokemontcg.io/sm35/9_hires.png;sm35
10;10;Ultra;GX;Entei-GX;Entei-GX;Pokémon;Fire;244;5ban Graphics;https://www.pokepedia.fr/images/thumb/5/51/Carte_Légendes_Brillantes_10.png/431px-Carte_Légendes_Brillantes_10.png;https://images.pokemontcg.io/sm35/10_hires.png;sm35
11;11;Common;;Chartor;Torkoal;Pokémon;Fire;324;Suwama Chiaki;https://www.pokepedia.fr/images/thumb/2/2d/Carte_Légendes_Brillantes_11.png/431px-Carte_Légendes_Brillantes_11.png;https://images.pokemontcg.io/sm35/11_hires.png;sm35
12;12;Common;;Pyronille;Larvesta;Pokémon;Fire;636;kawayoo;https://www.pokepedia.fr/images/thumb/d/d3/Carte_Légendes_Brillantes_12.png/431px-Carte_Légendes_Brillantes_12.png;https://images.pokemontcg.io/sm35/12_hires.png;sm35
