rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;Common;;Nosférapti;Zubat;ズバット;Pokémon;Grass;41;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169144.jpg;neo3
2;Uncommon;;Nosféralto;Golbat;ゴルバット;Pokémon;Grass;42;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169110.jpg;neo3
3;Common;;Paras;Paras;パラス;Pokémon;Grass;46;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169119.jpg;neo3
4;Uncommon;;Parasect;Parasect;パラセクト;Pokémon;Grass;47;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169120.jpg;neo3
5;Rare Holo;;Nostenfer;Crobat;クロバット;Pokémon;Grass;169;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104958.jpg;neo3
6;Common;;Floravol;Skiploom;ポポッコ;Pokémon;Grass;188;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169132.jpg;neo3
7;Rare Holo;;Cotovol;Jumpluff;ワタッコ;Pokémon;Grass;189;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1117992.jpg;neo3
8;Common;;Limagma;Slugma;マグマッグ;Pokémon;Fire;218;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169133.jpg;neo3
9;Uncommon;;Volcaropod;Magcargo;マグカルゴ;Pokémon;Fire;219;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169116.jpg;neo3
10;Rare Holo;;Entei;Entei;エンテイ;Pokémon;Fire;244;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095424.jpg;neo3
11;Rare Holo;;Ho-Oh;Ho-oh;ホウオウ;Pokémon;Fire;250;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095429.jpg;neo3
12;Common;;Poissirène;Goldeen;トサキント;Pokémon;Water;118;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169111.jpg;neo3
13;Uncommon;;Poissoroy;Seaking;アズマオウ;Pokémon;Water;119;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169128.jpg;neo3
14;Common;;Stari;Staryu;ヒトデマン;Pokémon;Water;120;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169138.jpg;neo3
