rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;Common;;Mimitoss;Venonat;コンパン;Pokémon;Grass;48;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168897.jpg;neo4
2;Uncommon;;Aeromite Lumineux;Light Venomoth;やさしいモルフォン;Pokémon;Grass;49;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168855.jpg;neo4
3;Uncommon;;Insécateur;Scyther;ストライク;Pokémon;Grass;123;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168869.jpg;neo4
4;Common;;Coxy;Ledyba;レディバ;Pokémon;Grass;165;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168847.jpg;neo4
5;Rare;;Coxyclaque Lumineux;Light Ledian;やさしいレディアン;Pokémon;Grass;166;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168851.jpg;neo4
6;Rare;;Migalos Obscur;Dark Ariados;わるいアリアドス;Pokémon;Grass;168;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168817.jpg;neo4
7;Rare Holo;;Nostenfer Obscur;Dark Crobat;わるいクロバット;Pokémon;Grass;169;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104959.jpg;neo4
8;Common;;Tournegrin;Sunkern;ヒマナッツ;Pokémon;Grass;191;Etsuya Hattori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168880.jpg;neo4
9;Common;;Heliatronc Lumineux;Light Sunflora;やさしいキマワリ;Pokémon;Grass;192;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168854.jpg;neo4
10;Common;;Pomdepik;Pineco;クヌギダマ;Pokémon;Grass;204;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168863.jpg;neo4
11;Uncommon;;Foretress Obscur;Dark Forretress;わるいフォレトス;Pokémon;Grass;205;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168820.jpg;neo4
12;Uncommon;;Scarhino;Heracross;ヘラクロス;Pokémon;Grass;214;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168840.jpg;neo4
13;Secret;Brillant;Celebi Brillant;Shining Celebi;ひかるセレビィ;Pokémon;Grass;251;Hironobu Yoshida;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281051/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.52.22.png;neo4
14;Secret;Brillant;Dracaufeu Brillant;Shining Charizard;ひかるリザードン;Pokémon;Fire;6;Hironobu Yoshida;https://res.cloudinary.com/dkhwpritu/image/upload/v1587281050/modifs/Capture_d_e%CC%81cran_2020-04-19_a%CC%80_08.53.11.png;neo4
15;Common;;Goupix;Vulpix;ロコン;Pokémon;Fire;37;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168898.jpg;neo4
16;Uncommon;;Feunard Lumineux;Light Ninetales;やさしいキュウコン;Pokémon;Fire;38;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125496.jpg;neo4
