rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;Common;;Mystherbe;Oddish;ナゾノクサ;Pokémon;Grass;43;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169078.jpg;neo1
2;Uncommon;;Ortide;Gloom;クサイハナ;Pokémon;Grass;44;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169059.jpg;neo1
3;Common;;Germignon;Chikorita;チコリータ;Pokémon;Grass;152;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167888.jpg;neo1
4;Uncommon;;Macronium;Bayleef;ベイリーフ;Pokémon;Grass;153;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167286.jpg;neo1
5;Rare Holo;;Méganium;Meganium;メガニウム;Pokémon;Grass;154;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095436.jpg;neo1
6;Common;;Coxy;Ledyba;レディバ;Pokémon;Grass;165;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169067.jpg;neo1
7;Uncommon;;Coxyclaque;Ledian;レディアン;Pokémon;Grass;166;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169066.jpg;neo1
8;Common;;Mimigal;Spinarak;イトマル;Pokémon;Grass;167;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169091.jpg;neo1
9;Uncommon;;Migalos;Ariados;アリアドス;Pokémon;Grass;168;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1173830.jpg;neo1
10;Rare Holo;;Joliflor;Bellossom;キレイハナ;Pokémon;Grass;182;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073883.jpg;neo1
11;Common;;Granivol;Hoppip;ハネッコ;Pokémon;Grass;187;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169063.jpg;neo1
12;Uncommon;;Floravol;Skiploom;ポポッコ;Pokémon;Grass;188;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106438.jpg;neo1
13;Rare Holo;;Cotovol;Jumpluff;ワタッコ;Pokémon;Grass;189;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073887.jpg;neo1
14;Common;;Tournegrin;Sunkern;ヒマナッツ;Pokémon;Grass;191;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169096.jpg;neo1
15;Uncommon;;Heliatronc;Sunflora;キマワリ;Pokémon;Grass;192;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169095.jpg;neo1
16;Common;;Caratroc;Shuckle;ツボツボ;Pokémon;Grass;213;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106437.jpg;neo1
17;Rare Holo;;Scarhino;Heracross;ヘラクロス;Pokémon;Grass;214;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104960.jpg;neo1
18;Uncommon;;Magmar;Magmar;ブーバー;Pokémon;Fire;126;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106436.jpg;neo1
19;Common;;Héricendre;Cyndaquil;ヒノアラシ;Pokémon;Fire;155;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169049.jpg;neo1
20;Uncommon;;Feurisson;Quilava;マグマラシ;Pokémon;Fire;156;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169086.jpg;neo1
21;Rare Holo;;Typhlosion;Typhlosion;バクフーン;Pokémon;Fire;157;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095419.jpg;neo1
22;Rare;;Magby;Magby;ブビィ;Pokémon;Fire;240;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169068.jpg;neo1
23;Common;;Hypotrempe;Horsea;タッツー;Pokémon;Water;116;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169064.jpg;neo1
24;Uncommon;;Hypocéan;Seadra;シードラ;Pokémon;Water;117;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169087.jpg;neo1
25;Common;;Kaiminus;Totodile;ワニノコ;Pokémon;Water;158;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169101.jpg;neo1
26;Uncommon;;Crocrodil;Croconaw;アリゲイツ;Pokémon;Water;159;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169048.jpg;neo1
27;Rare Holo;;Aligatueur;Feraligatr;オーダイル;Pokémon;Water;160;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095425.jpg;neo1
28;Common;;Marill;Marill;マリル;Pokémon;Water;183;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149234.jpg;neo1
