rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
42;Rare Holo;;Tyranocif;Tyranitar;バンギラス;Pokémon;Darkness;248;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095444.jpg;neo2
43;Rare Holo;;Magneti;Magnemite;コイル;Pokémon;Metal;81;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125491.jpg;neo2
44;Rare Holo;;Foretress;Forretress;フォレトス;Pokémon;Metal;205;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106430.jpg;neo2
45;Rare Holo;;Cizayox;Scizor;ハッサム;Pokémon;Metal;212;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073836.jpg;neo2
46;Uncommon;;Evoli;Eevee;イーブイ;Pokémon;Colorless;133;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1129142.jpg;neo2
47;Common;;Fouinette;Sentret;オタチ;Pokémon;Colorless;161;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169029.jpg;neo2
48;Uncommon;;Toudoudou;Igglybuff;ププリン;Pokémon;Colorless;174;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149217.jpg;neo2
49;Common;;Insolourdo;Dunsparce;ノコッチ;Pokémon;Colorless;206;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169008.jpg;neo2
50;Common;;Teddiursa;Teddiursa;ヒメグマ;Pokémon;Colorless;216;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169031.jpg;neo2
51;Rare Holo;;Ursaring;Ursaring;リングマ;Pokémon;Colorless;217;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073843.jpg;neo2
52;Rare Holo;;Queulorior;Smeargle;ドーブル;Pokémon;Colorless;235;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073839.jpg;neo2
53;Uncommon;;Œuf Fossile;Fossil Egg;たまごの化石;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169011.jpg;neo2
54;Uncommon;;Vaporisateur hyper retrograde;Hyper Devolution Spray;退化スプレーHYPER;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169013.jpg;neo2
55;Uncommon;;Mur en Ruine (Kabuto);Ruin Wall (Kabuto);遺跡の石版;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169028.jpg;neo2
56;Uncommon;;Mur en Ruine (Ptera);Ruin Wall (Aerodactyl);遺跡の石版;Trainer;NoColor;;CR CG gangs;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169027.jpg;neo2
57;Common;;Arche d'Énergie;Energy Ark;エネルギーアーク;Trainer;NoColor;;« Big Mama » Tagawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169009.jpg;neo2
