rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
91;91;Ultra;ex;Noctali ex;Umbreon ex;1;Pokémon;Darkness;197;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478602.jpg;ex9
92;92;Rare;;Cornèbre;Murkrow;1;Pokémon;Darkness;198;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478709.jpg;ex9
93;93;Ultra;ex;Tyranocif ex;Tyranitar ex;1;Pokémon;Darkness;248;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478604.jpg;ex9
94;94;Rare Holo;;Foretress;Forretress;1;Pokémon;Metal;205;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478711.jpg;ex9
95;95;Ultra;ex;Steelix ex;Steelix ex;1;Pokémon;Metal;208;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478712.jpg;ex9
96;96;Ultra;ex;Cizayox ex;Scizor ex;1;Pokémon;Metal;212;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478607.jpg;ex9
97;97;Uncommon;;Méthode d'entraînement du Professeur Orme;Professor Elm's Training Method;1;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478714.jpg;ex9
98;98;Uncommon;;La Requête de Lula;Mary's Request;1;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478715.jpg;ex9
99;99;Uncommon;;Fureur Compacte;Solid Rage;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478716.jpg;ex9
100;100;Uncommon;;Baie Sitrus;Sitrus Berry;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478717.jpg;ex9
101;101;Uncommon;;Racine Énergie;Energy Root;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478718.jpg;ex9
102;102;Uncommon;;Poudre maléfique;Curse Powder;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478719.jpg;ex9
103;103;Uncommon;;Baie Molletonnée;Fluffy Berry;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478720.jpg;ex9
104;104;Uncommon;;Sphère Protectrice;Protective Orb;1;Trainer;NoColor;;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478721.jpg;ex9
105;105;Uncommon;;Énergie Cyclone;Cyclone Energy;1;Energy;NoColor;;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478722.jpg;ex9
106;106;Uncommon;;Energie de Distorsion;Warp Energy;1;Energy;NoColor;;Shin-ichi Yoshikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478723.jpg;ex9
