rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Abo;Ekans;Pokémon;Grass;23;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471703.jpg;ex4
2;2;Uncommon;;Arbok;Arbok;Pokémon;Grass;24;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471704.jpg;ex4
3;3;Common;;Pomdepik;Pineco;Pokémon;Grass;204;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471705.jpg;ex4
4;4;Common;;Arcko;Treecko;Pokémon;Grass;252;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471706.jpg;ex4
5;5;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471707.jpg;ex4
6;6;Ultra;EX;Jungko ex;Sceptile ex;Pokémon;Grass;254;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471766.jpg;ex4
7;7;Uncommon;;Cacnea;Cacnea;Pokémon;Grass;331;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471708.jpg;ex4
8;8;Uncommon;;Lilia;Lileep;Pokémon;Grass;345;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471709.jpg;ex4
9;9;Ultra;EX;Vacilys ex;Cradily ex;Pokémon;Grass;346;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/30fd2700d11a11e5943f8b51591b3d0b/cradily.jpg;ex4
10;10;Rare;;Seviper de Team Aqua;Team Aqua's Seviper;Pokémon;Grass;336;Jungo Suzuki;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/67ff75c0d11d11e59470910b9baec4ae/seviper.jpg;ex4
11;11;Uncommon;;Cacnea de Team Aqua;Team Aqua's Cacnea;Pokémon;Grass;331;K. Utsunomiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471711.jpg;ex4
12;12;Rare Holo;;Cacturne de Team Aqua;Team Aqua's Cacturne;Pokémon;Grass;332;K. Utsunomiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471768.jpg;ex4
13;13;Common;;Caninos;Growlithe;Pokémon;Fire;58;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471713.jpg;ex4
14;14;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471770.jpg;ex4
