rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
248;248;;;;Galarian Corsola ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Galarian-Corsola.S4A.248.36549.png;
249;249;;;;Galarian Cursola ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Galarian-Cursola.S4A.249.36550.png;
250;250;;;;Dedenne ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Dedenne.S4A.250.36479.png;
251;251;;;;Sinistea ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Sinistea.S4A.251.36492.png;
252;252;;;;Polteageist ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Polteageist.S4A.252.36493.png;
253;253;;;;Hatenna ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Hatenna.S4A.253.36551.png;
254;254;;;;Hattrem ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Hattrem.S4A.254.36552.png;
255;255;;;;Hatterene ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Hatterene.S4A.255.36553.png;
256;256;;;;Milcery ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Milcery.S4A.256.36554.png;
257;257;;;;Alcremie ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Alcremie.S4A.257.36555.png;
258;258;;;;Indeedee ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Indeedee.S4A.258.36556.png;
259;259;;;;Dreepy ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Dreepy.S4A.259.36557.png;
260;260;;;;Drakloak ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Drakloak.S4A.260.36558.png;
261;261;;;;Dragapult ;;Pokemon;Psychic;;;https://pod.pokellector.com/cards/301/Dragapult.S4A.261.36559.png;
262;262;;;;Galarian Farfetch'd ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Galarian-Farfetchd.S4A.262.36560.png;
263;263;;;;Galarian Sirfetch'd ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Galarian-Sirfetchd.S4A.263.36561.png;
264;264;;;;Galarian Yamask ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Galarian-Yamask.S4A.264.36562.png;
265;265;;;;Galarian Runerigus ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Galarian-Runerigus.S4A.265.36563.png;
266;266;;;;Rolycoly ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Rolycoly.S4A.266.36564.png;
267;267;;;;Carkol ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Carkol.S4A.267.36565.png;
268;268;;;;Coalossal ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Coalossal.S4A.268.36566.png;
269;269;;;;Silicobra ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Silicobra.S4A.269.36567.png;
270;270;;;;Sandaconda ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Sandaconda.S4A.270.36568.png;
271;271;;;;Clobbopus ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Clobbopus.S4A.271.36569.png;
272;272;;;;Grapploct ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Grapploct.S4A.272.36570.png;
273;273;;;;Falinks ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Falinks.S4A.273.36571.png;
274;274;;;;Stonjourner ;;Pokemon;Fighting;;;https://pod.pokellector.com/cards/301/Stonjourner.S4A.274.36572.png;
275;275;;;;Koffing ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Koffing.S4A.275.36143.png;
276;276;;;;Galarian Weezing ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Galarian-Weezing.S4A.276.36573.png;
277;277;;;;Galarian Zigzagoon ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Galarian-Zigzagoon.S4A.277.36574.png;
278;278;;;;Galarian Linoone ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Galarian-Linoone.S4A.278.36575.png;
279;279;;;;Galarian Obstagoon ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Galarian-Obstagoon.S4A.279.36576.png;
280;280;;;;Nickit ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Nickit.S4A.280.36577.png;
281;281;;;;Thievul ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Thievul.S4A.281.36578.png;
282;282;;;;Impidimp ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Impidimp.S4A.282.36579.png;
283;283;;;;Morgrem ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Morgrem.S4A.283.36580.png;
284;284;;;;Grimmsnarl ;;Pokemon;Darkness;;;https://pod.pokellector.com/cards/301/Grimmsnarl.S4A.284.36581.png;
285;285;;;;Galarian Meowth ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Galarian-Meowth.S4A.285.36582.png;
286;286;;;;Galarian Perrserker ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Galarian-Perrserker.S4A.286.36489.png;
287;287;;;;Galarian Stunfisk ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Galarian-Stunfisk.S4A.287.36583.png;
288;288;;;;Corviknight ;;Pokemon;Metal;;;https://pod.pokellector.com/cards/301/Corviknight.S4A.288.36584.png;
