rank;jap_url;;;;
81;https://pod.pokellector.com/cards/291/Unfezant.S2.81.31966.png;;;;
82;https://pod.pokellector.com/cards/291/Stufful.S2.82.31967.png;;;;
83;https://pod.pokellector.com/cards/291/Bewear.S2.83.31968.png;;;;
84;https://pod.pokellector.com/cards/291/Skwovet.S2.84.31969.png;;;;
85;https://pod.pokellector.com/cards/291/Greedent.S2.85.31970.png;;;;
86;https://pod.pokellector.com/cards/291/Scoop-Up-Net.S2.86.31882.png;;;;
87;https://pod.pokellector.com/cards/291/Nugget.S2.87.31971.png;;;;
88;https://pod.pokellector.com/cards/291/Tool-Scrapper.S2.88.31881.png;;;;
89;https://pod.pokellector.com/cards/291/Cursed-Shovel.S2.89.31972.png;;;;
90;https://pod.pokellector.com/cards/291/Oleana.S2.90.31973.png;;;;
91;https://pod.pokellector.com/cards/291/Dan.S2.91.31974.png;;;;
92;https://pod.pokellector.com/cards/291/Bosss-Orders.S2.92.31878.png;;;;
93;https://pod.pokellector.com/cards/291/Galar-Mine.S2.93.31975.png;;;;
94;https://pod.pokellector.com/cards/291/Speed-Lightning-Energy.S2.94.31883.png;;;;
95;https://pod.pokellector.com/cards/291/Horror-Psychic-Energy.S2.95.31884.png;;;;
96;https://pod.pokellector.com/cards/291/Capture-Energy.S2.96.31976.png;;;;
97;https://pod.pokellector.com/cards/291/Eldegoss-V.S2.97.32003.png;;;;
98;https://pod.pokellector.com/cards/291/Ninetales-V.S2.98.32004.png;;;;
99;https://pod.pokellector.com/cards/291/Milotic-V.S2.99.32005.png;;;;
100;https://pod.pokellector.com/cards/291/Toxtricity-V.S2.100.32006.png;;;;
101;https://pod.pokellector.com/cards/291/Dragapult-V.S2.101.32007.png;;;;
102;https://pod.pokellector.com/cards/291/Falinks-V.S2.102.32008.png;;;;
103;https://pod.pokellector.com/cards/291/Malamar-V.S2.103.32009.png;;;;
104;https://pod.pokellector.com/cards/291/Copperajah-V.S2.104.32010.png;;;;
105;https://pod.pokellector.com/cards/291/Oleana.S2.105.32011.png;;;;
106;https://pod.pokellector.com/cards/291/Bosss-Orders.S2.106.31982.png;;;;
107;https://pod.pokellector.com/cards/291/Toxtricity-VMAX.S2.107.32012.png;;;;
108;https://pod.pokellector.com/cards/291/Dragapult-VMAX.S2.108.32013.png;;;;
109;https://pod.pokellector.com/cards/291/Malamar-VMAX.S2.109.32014.png;;;;
110;https://pod.pokellector.com/cards/291/Copperajah-VMAX.S2.110.32015.png;;;;
111;https://pod.pokellector.com/cards/291/Oleana.S2.111.32016.png;;;;
112;https://pod.pokellector.com/cards/291/Bosss-Order.S2.112.32017.png;;;;
113;https://pod.pokellector.com/cards/291/Galarian-Perrserker.S2.113.32018.png;;;;
114;https://pod.pokellector.com/cards/291/Retrieval-Net.S2.114.32019.png;;;;
115;https://pod.pokellector.com/cards/291/Tool-Scrapper.S2.115.32020.png;;;;
