rank;energy;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;pokedex_number;artist;jap_url;list
1;Grass;Common;;Abo;Ekans;アーボ;Pokémon;23;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168191.jpg;base3
2;Grass;Uncommon;;Arbok;Arbok;アーボック;Pokémon;24;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168189.jpg;base3
3;Grass;Common;;Nosférapti;Zubat;ズバット;Pokémon;41;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168216.jpg;base3
4;Grass;Uncommon;;Nosféralto;Golbat;ゴルバット;Pokémon;42;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168195.jpg;base3
5;Grass;Common;;Tadmorv;Grimer;ベトベター;Pokémon;88;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168199.jpg;base3
6;Grass;Rare Holo;;Grotadmorv;Muk;ベトベトン;Pokémon;89;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073879.jpg;base3
7;Grass;Uncommon;;Smogogo;Weezing;マタドガス;Pokémon;110;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168215.jpg;base3
8;Fire;Uncommon;;Magmar;Magmar;ブーバー;Pokémon;126;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168202.jpg;base3
9;Fire;Rare Holo;;Sulfura;Moltres;ファイヤー;Pokémon;146;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095437.jpg;base3
10;Water;Common;;Psykokwak;Psyduck;コダック;Pokémon;54;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168207.jpg;base3
11;Water;Uncommon;;Akwakwak;Golduck;ゴルダック;Pokémon;55;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168196.jpg;base3
12;Water;Common;;Tentacool;Tentacool;メノクラゲ;Pokémon;72;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106420.jpg;base3
