rank;energy;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;pokedex_number;artist;jap_url;list
13;Water;Uncommon;;Tentacruel;Tentacruel;ドククラゲ;Pokémon;73;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168214.jpg;base3
14;Water;Common;;Kokiyas;Shellder;シェルダー;Pokémon;90;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168211.jpg;base3
15;Water;Uncommon;;Crustabri;Cloyster;パルシェン;Pokémon;91;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168190.jpg;base3
16;Water;Common;;Krabby;Krabby;クラブ;Pokémon;98;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168201.jpg;base3
17;Water;Uncommon;;Krabboss;Kingler;キングラー;Pokémon;99;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168200.jpg;base3
18;Water;Common;;Hypotrempe;Horsea;タッツ;Pokémon;116;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149214.jpg;base3
19;Water;Uncommon;;Hypocéan;Seadra;シードラ;Pokémon;117;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168210.jpg;base3
20;Water;Rare Holo;;Lokhlass;Lapras;ラプラス;Pokémon;131;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093935.jpg;base3
21;Water;Common;;Amonita;Omanyte;オムナイト;Pokémon;138;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168205.jpg;base3
22;Water;Uncommon;;Amonistar;Omastar;オムスター;Pokémon;139;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168206.jpg;base3
23;Water;Rare Holo;;Artikodin;Articuno;フリーザー;Pokémon;144;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095416.jpg;base3
24;Lightning;Rare Holo;;Raichu;Raichu;ライチュウ;Pokémon;26;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095440.jpg;base3
25;Lightning;Rare Holo;;Magneton;Magneton;レアコイル;Pokémon;82;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104964.jpg;base3
26;Lightning;Rare Holo;;Electhor;Zapdos;サンダー;Pokémon;145;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104987.jpg;base3
27;Psychic;Common;;Ramoloss;Slowpoke;ヤドン;Pokémon;79;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168213.jpg;base3
28;Psychic;Uncommon;;Flagadoss;Slowbro;ヤドラン;Pokémon;80;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168212.jpg;base3
29;Psychic;Uncommon;;Fantominus;Gastly;ゴース;Pokémon;92;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168193.jpg;base3
30;Psychic;Rare Holo;;Spectrum;Haunter;ゴースト;Pokémon;93;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1111079.jpg;base3
31;Psychic;Rare Holo;;Ectoplasma;Gengar;ゲンガー;Pokémon;94;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095428.jpg;base3
32;Psychic;Rare Holo;;Hypnomade;Hypno;スリーパー;Pokémon;97;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104950.jpg;base3
33;Psychic;Rare Holo;;Mew;Mew;ミュウ;Pokémon;151;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095435.jpg;
34;Fighting;Uncommon;;Sablaireau;Sandslash;サンドパン;Pokémon;28;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168209.jpg;base3
35;Fighting;Common;;Racaillou;Geodude;イシツブテ;Pokémon;74;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168194.jpg;base3
36;Fighting;Uncommon;;Gravalanch;Graveler;ゴローン;Pokémon;75;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168198.jpg;base3
37;Fighting;Uncommon;;Grolem;Golem;ゴローニャ;Pokémon;76;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168197.jpg;base3
38;Fighting;Rare Holo;;Kicklee;Hitmonlee;サワムラー;Pokémon;106;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104961.jpg;base3
39;Fighting;Common;;Kabuto;Kabuto;カブト;Pokémon;140;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149220.jpg;base3
40;Fighting;Rare Holo;;Kabutops;Kabutops;カブトプス;Pokémon;141;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093939.jpg;base3
41;Fighting;Rare Holo;;Ptera;Aerodactyl;プテラ;Pokémon;142;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093932.jpg;base3
42;Colorless;Rare Holo;;Métamorph;Ditto;メタモン;Pokémon;132;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093933.jpg;base3
43;Colorless;Rare Holo;;Dracolosse;Dragonite;カイリュー;Pokémon;149;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095421.jpg;base3
44;NoColor;Uncommon;;M. Fuji;Mr. Fuji;フジろうじん;Trainer;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168203.jpg;base3
45;NoColor;Common;;Recherche d'Énergie;Energy Search;エネルギー転送;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106419.jpg;base3
46;NoColor;Common;;Joueur;Gambler;ギャンブラー;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168192.jpg;base3
47;NoColor;Common;;Recyclage;Recycle;リサイクル;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168208.jpg;base3
48;NoColor;Common;;Mystérieux Fossile;Mysterious Fossil;なにかの化石;Trainer;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168204.jpg;base3
