rank;energy;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;pokedex_number;artist;jap_url;list
25;Water;Uncommon;;Aquali Obscur;Dark Vaporeon;わるいシャワーズ;Pokémon;134;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110415.jpg;base4
26;Lightning;Common;;Magneti;Magnemite;コイル;Pokémon;81;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149230.jpg;base4
27;Lightning;Rare Holo;;Magneton Obscur;Dark Magneton;わるいレアコイル;Pokémon;82;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073810.jpg;base4
28;Lightning;Common;;Voltorbe;Voltorb;ビリリダマ;Pokémon;100;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169273.jpg;base4
29;Lightning;Uncommon;;Électrode Obscur;Dark Electrode;わるいマルマイン;Pokémon;101;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169244.jpg;base4
30;Lightning;Uncommon;;Voltali Obscur;Dark Jolteon;わるいサンダース;Pokémon;135;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110411.jpg;base4
31;Psychic;Common;;Abra;Abra;ケーシィ;Pokémon;63;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169241.jpg;base4
32;Psychic;Uncommon;;Kadabra Obscur;Dark Kadabra;わるいユンゲラー;Pokémon;64;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169247.jpg;base4
33;Psychic;Rare Holo;;Alakazam Obscur;Dark Alakazam;わるいフーディン;Pokémon;65;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073801.jpg;base4
34;Psychic;Common;;Ramoloss;Slowpoke;ヤドン;Pokémon;79;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169270.jpg;base4
35;Psychic;Rare Holo;;Flagadoss Obscur;Dark Slowbro;わるいヤドラン;Pokémon;80;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073830.jpg;base4
36;Psychic;Common;;Soporifik;Drowzee;スリープ;Pokémon;96;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1114747.jpg;base4
37;Psychic;Rare Holo;;Hypnomade Obscur;Dark Hypno;わるいスリーパー;Pokémon;97;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073792.jpg;base4
38;Fighting;Common;;Taupiqueur;Diglett;ディグダ;Pokémon;50;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169254.jpg;base4
39;Fighting;Rare Holo;;Triopikeur Obscur;Dark Dugtrio;わるいダグトリオ;Pokémon;51;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073800.jpg;base4
40;Fighting;Common;;Férosinge;Mankey;マンキー;Pokémon;56;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149233.jpg;base4
41;Fighting;Uncommon;;Colossinge Obscur;Dark Primeape;わるいオコリザル;Pokémon;57;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169250.jpg;base4
42;Fighting;Common;;Machoc;Machop;ワンリキー;Pokémon;66;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169261.jpg;base4
43;Fighting;Uncommon;;Machopeur Obscur;Dark Machoke;わるいゴーリキー;Pokémon;67;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169248.jpg;base4
44;Fighting;Rare Holo;;Mackogneur Obscur;Dark Machamp;わるいカイリキー;Pokémon;68;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073841.jpg;base4
45;Colorless;Common;;Rattata;Rattata;コラッタ;Pokémon;19;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149251.jpg;base4
46;Colorless;Common;;Rattatac Obscur;Dark Raticate;わるいラッタ;Pokémon;20;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169252.jpg;base4
47;Colorless;Common;;Miaouss;Meowth;ニャース;Pokémon;52;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169263.jpg;base4
48;Colorless;Uncommon;;Persian Obscur;Dark Persian;わるいペルシアン;Pokémon;53;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169249.jpg;base4
49;Colorless;Common;;Evoli;Eevee;イーブイ;Pokémon;133;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169256.jpg;base4
