rank;number;jap_url;en_name;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
37;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176068.jpg;4 Prize Battle;;;;;;;;
38;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176065.jpg;20 Damage from Confusion;;;;;;;;
39;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176066.jpg;3 Deck Battle;;;;;;;;
40;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176067.jpg;3 vs 3 Dugtrio Team Battle;;;;;;;;
41;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176069.jpg;Deck Exchange;;;;;;;;
42;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176064.jpg;Ooyama's Pikachu;;;;;;;;
43;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176062.jpg;Imakuni?'s PC;;;;;;;;
44;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176061.jpg;Imakuni?'s Nasty Plot;;;;;;;;
45;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176057.jpg;Imakuni?'s Corner;;;;;;;;
46;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176058.jpg;Lose?;;;;;;;;
47;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176059.jpg;Pokémon Machine;;;;;;;;
48;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176063.jpg;Bill's PC;;;;;;;;
49;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176055.jpg;The Puzzle of Pokémon Tower?;;;;;;;;
50;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176056.jpg;Ouch! At the Pokémon Mansion;;;;;;;;
51;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176053.jpg;Violence in the Safari Zone!;;;;;;;;
52;;https://cdn.bulbagarden.net/upload/2/26/HorseaOfTheSeafoamIslandsVendingS3.jpg;Horsea of the Seafoam Islands;;;;;;;;
53;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1176054.jpg;The Last Cave – Cerulean!;;;;;;;;
