rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
84;Common;;Flux d'Énergie;Energy Flow;エネルギーサーキュレート;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168306.jpg
85;Common;;Duel d'Ondine;Misty's Duel;カスミの勝負;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168446.jpg
86;Rare;;Protection de Pierre;Brock's Protection;タケシの保護;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168281.jpg
87;Rare;;Échange de déchets;Chaos Gym;錯乱ジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168299.jpg
88;Rare;;Machine à Chatouilles;Erika's Kindness;エリカの親切;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149201.jpg
89;Rare;;Plan Secret de Major Bob;Lt. Surge's Secret Plan;マチスの秘策;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168430.jpg
90;Rare;;Pari d'Auguste;Misty's Wish;カスミのわがまま;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1115049.jpg
91;Rare;;Arène Résistance;Resistance Gym;抵抗力低下ジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168488.jpg
92;Common;;Les larmes d'Ondine;Misty's Tears;カスミのなみだ;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168469.jpg
93;Common;;Arène étroite;Narrow Gym;せまいジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168476.jpg
94;Uncommon;;Bonnes Manières;Good Manners;礼儀作法;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168376.jpg
95;Rare;;Mission Secrète;Secret Mission;スパイ作戦;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168549.jpg
96;Rare;;Arène de Non Suppression;No Removal Gym;リムーブ禁止ジム;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168477.jpg
