rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/J;Timeless Celebi;https://cdn.bulbagarden.net/upload/b/b8/TimelessCelebiJPromo1.jpg;;;;;;;;
2;002/J;Latias and Latios;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1166922.jpg;;;;;;;;
