rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
64;64;Common;;Kangourex;Kangaskhan;ガルーラ;Pokémon;Colorless;115;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169540.jpg;ecard3
65;65;Common;;Fouinette;Sentret;オタチ;Pokémon;Colorless;161;Hizuki Misono;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169574.jpg;ecard3
66;66;Common;;Fouinar;Furret;オオタチ;Pokémon;Colorless;162;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169534.jpg;ecard3
67;67;Common;;Capumain;Aipom;エイパム;Pokémon;Colorless;190;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169508.jpg;ecard3
68;68;Common;;Ecrémeuh;Miltank;ミルタンク;Pokémon;Colorless;241;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169553.jpg;ecard3
69;69;Common;;Farfuret;Sneasel;ニューラ;Pokémon;Darkness;215;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169579.jpg;ecard3
70;70;Rare;;Tyranocif;Tyranitar;バンギラス;Pokémon;Darkness;248;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169590.jpg;ecard3
71;71;Rare Holo;;Tyranocif;Tyranitar;バンギラス;Pokémon;Darkness;248;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1191028.jpg;ecard3
72;72;Rare;;Steelix;Steelix;ハガネール;Pokémon;Metal;208;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169580.jpg;ecard3
73;73;Rare Holo;;Steelix;Steelix;ハガネール;Pokémon;Metal;208;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6e5146d6d98b11e5bed32332214762e3/073.jpg;ecard3
74;74;Rare;;Cizayox;Scizor;ハッサム;Pokémon;Metal;212;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169569.jpg;ecard3
75;75;Rare Holo;;Cizayox;Scizor;ハッサム;Pokémon;Metal;212;Hisao Nakamura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/8e68b850d98a11e5bf85cfec6fae10c8/075.jpg;ecard3
76;76;Uncommon;;Échange d'énergie;Energy Switch;エネルギーつけかえ;Trainer;NoColor;;Mikio Menjo;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169524.jpg;ecard3
77;77;Uncommon;;Représentant de Commerce;Traveling Salesman;行商人;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169589.jpg;ecard3
