rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;/001;/088;Common;;Aspicot;Weedle;ビードル;Pokémon;Grass;13;Keiko Fukuyama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168808.jpg;ecard5
2;/002;/088;Common;;Aspicot;Weedle;ビードル;Pokémon;Grass;13;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168809.jpg;ecard5
3;/003;/088;Common;;Coconfort;Kakuna;コクーン;Pokémon;Grass;14;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168759.jpg;ecard5
4;/004;/088;Rare;;Dardargnan;Beedrill;スピアー;Pokémon;Grass;15;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168728.jpg;ecard5
5;/005;/088;Rare Holo;;Dardargnan;Beedrill;スピアー;Pokémon;Grass;15;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168729.jpg;ecard5
6;/006;/088;Common;;Nidoran F;Nidoran♀;ニドラン♀;Pokémon;Grass;29;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168783.jpg;ecard5
7;/007;/088;Common;;Nidoran F;Nidoran♀;ニドラン♀;Pokémon;Grass;29;Masako Yamashita;https://res.cloudinary.com/dkhwpritu/image/upload/v1587843192/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_21.31.45.png;ecard5
8;/008;/088;Common;;Nidorina;Nidorina;ニドリーナ;Pokémon;Grass;30;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168785.jpg;ecard5
9;/009;/088;Rare;;Nidoqueen;Nidoqueen;ニドクイン;Pokémon;Grass;31;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168781.jpg;ecard5
10;/010;/088;Rare Holo;;Nidoqueen;Nidoqueen;ニドクイン;Pokémon;Grass;31;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/64f9b3d0d5d311e5b1bc6baa694552ed/nidoqueen%2010.jpg;ecard5
11;/011;/088;Common;;Mimitoss;Venonat;コンパン;Pokémon;Grass;48;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168806.jpg;ecard5
12;/012;/088;Common;;Aéromite;Venomoth;モルフォン;Pokémon;Grass;49;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168805.jpg;ecard5
13;/013;/088;Common;;Tournegrin;Sunkern;ヒマナッツ;Pokémon;Grass;191;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168800.jpg;ecard5
14;/014;/088;Common;;Heliatronc;Sunflora;キマワリ;Pokémon;Grass;192;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168799.jpg;ecard5
15;/015;/088;Common;;Caninos;Growlithe;ガーディ;Pokémon;Fire;58;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168749.jpg;ecard5
16;/016;/088;Rare;;Arcanin;Arcanine;ウインディ;Pokémon;Fire;59;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168724.jpg;ecard5
17;/017;/088;Rare Holo;;Arcanin;Arcanine;ウインディ;Pokémon;Fire;59;Aya Kusube;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/531201e0d5c911e58fc9396dfd3f1544/Arcanine%2017.jpg;ecard5
18;/018;/088;Rare;;Sulfura;Moltres;ファイヤー;Pokémon;Fire;146;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168777.jpg;ecard5
19;/019;/088;Rare Holo;;Sulfura;Moltres;ファイヤー;Pokémon;Fire;146;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/278ac610d5d311e595010d17122adfcc/moltres%2019.jpg;ecard5
