rank;number;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
23;23;Common;Ossatueur de Mortimer;Morty's Marowak;マツバのガラガラ;Pokémon;Fighting;105;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169464.jpg;ecardvs
24;24;Common;Noarfang de Mortimer;Morty's Noctowl;マツバのヨルノズク;Pokémon;Colorless;164;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169467.jpg;ecardvs
25;25;Rare Holo;Cornèbre de Mortimer;Morty's Murkrow;マツバのヤミカラス;Pokémon;Darkness;198;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148524.jpg;ecardvs
26;26;Common;Feuforêve de Mortimer;Morty's Misdreavus;マツバのムウマ;Pokémon;Psychic;200;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169465.jpg;ecardvs
27;27;Common;Raichu de Jasmine;Jasmine's Raichu;ミカンのライチュウ;Pokémon;Lightning;26;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169434.jpg;ecardvs
28;28;Common;Magnéton de Jasmine;Jasmine's Magneton;ミカンのレアコイル;Pokémon;Lightning;82;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169433.jpg;ecardvs
29;29;Common;Elektek de Jasmine;Jasmine's Electabuzz;ミカンのエレブー;Pokémon;Lightning;125;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169431.jpg;ecardvs
30;30;Common;Voltali de Jasmine;Jasmine's Jolteon;ミカンのサンダース;Pokémon;Lightning;135;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169432.jpg;ecardvs
31;31;Common;Pharamp de Jasmine;Jasmine's Ampharos;ミカンのデンリュウ;Pokémon;Lightning;168;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169430.jpg;ecardvs
32;32;Rare Holo;Steelix de Jasmine;Jasmine's Steelix;ミカンのハガネール;Pokémon;Metal;208;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169435.jpg;ecardvs
33;33;Common;Colossinge de Chuck;Chuck's Primeape;シジマのオコリザル;Pokémon;Fighting;57;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169389.jpg;ecardvs
34;34;Common;Tartard de Chuck;Chuck's Poliwrath;シジマのニョロボン;Pokémon;Fighting;62;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169388.jpg;ecardvs
35;35;Common;Rhinoféros de Chuck;Chuck's Rhydon;シジマのサイドン;Pokémon;Fighting;112;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169390.jpg;ecardvs
36;36;Common;Tauros de Chuck;Chuck's Tauros;シジマのケンタロス;Pokémon;Colorless;128;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169391.jpg;ecardvs
37;37;Common;Granbull de Chuck;Chuck's Granbull;シジマのグランブル;Pokémon;Colorless;210;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169387.jpg;ecardvs
38;38;Common;Donphan de Chuck;Chuck's Donphan;シジマのドンファン;Pokémon;Fighting;232;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169386.jpg;ecardvs
39;39;Common;Lamantine de Frédo;Pryce's Dewgong;ヤナギのジュゴン;Pokémon;Water;87;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169475.jpg;ecardvs
40;40;Common;Crustabri de Frédo;Pryce's Cloyster;ヤナギのパルシェン;Pokémon;Water;91;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169473.jpg;ecardvs
41;41;Common;Lokhlass de Frédo;Pryce's Lapras;ヤナギのラプラス;Pokémon;Water;131;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169476.jpg;ecardvs
42;42;Common;Artikodin de Frédo;Pryce's Articuno;ヤナギのフリーザー;Pokémon;Water;144;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169472.jpg;ecardvs
43;43;Rare Holo;Farfuret de Frédo;Pryce's Sneasel;ヤナギのニューラ;Pokémon;Darkness;215;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148538.jpg;ecardvs
44;44;Common;Cochignon de Frédo;Pryce's Piloswine;ヤナギのイノムー;Pokémon;Water;221;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169477.jpg;ecardvs
45;45;Common;Cadoizo de Frédo;Pryce's Delibird;ヤナギのデリバード;Pokémon;Water;225;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169474.jpg;ecardvs
46;46;Common;Tortank de Sandra;Clair's Blastoise;イブキのカメックス;Pokémon;Water;9;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169394.jpg;ecardvs
47;47;Common;Lippoutou de Sandra;Clair's Jynx;イブキのルージュラ;Pokémon;Water;124;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169397.jpg;ecardvs
48;48;Common;Léviator de Sandra;Clair's Gyarados;イブキのギャラドス;Pokémon;Water;130;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169396.jpg;ecardvs
49;49;Common;Dracolosse de Sandra;Clair's Dragonite;イブキのカイリュー;Pokémon;Colorless;149;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169395.jpg;ecardvs
50;50;Common;Tarpaud de Sandra;Clair's Politoed;イブキのニョロトノ;Pokémon;Water;186;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169400.jpg;ecardvs
51;51;Common;Démanta de Sandra;Clair's Mantine;イブキのマンタイン;Pokémon;Water;226;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169399.jpg;ecardvs
52;52;Common;Hyporoi de Sandra;Clair's Kingdra;イブキのキングドラ;Pokémon;Water;230;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169398.jpg;ecardvs
53;53;Common;Raichu du Major Bob;Lt. Surge's Raichu;マチスのライチュウ;Pokémon;Lightning;26;Etsuya Hattori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169457.jpg;ecardvs
54;54;Common;Lanturn du Major Bob;Lt. Surge's Lanturn;マチスのランターン;Pokémon;Lightning;171;Etsuya Hattori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169456.jpg;ecardvs
55;55;Common;Xatu de Morgane;Sabrina's Xatu;ナツメのネイティオ;Pokémon;Psychic;178;Asuka Iwashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169486.jpg;ecardvs
56;56;Common;Mentali de Morgane;Sabrina's Espeon;ナツメのエーフィ;Pokémon;Psychic;196;Asuka Iwashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169485.jpg;ecardvs
57;57;Common;Lokhlass d'Ondine;Misty's Lapras;カスミのラプラス;Pokémon;Water;131;Satoshi Ohta;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169459.jpg;ecardvs
58;58;Common;Maraiste d'Ondine;Misty's Quagsire;カスミのヌオー;Pokémon;Water;195;Satoshi Ohta;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169460.jpg;ecardvs
59;59;Common;Joliflor d'Erika;Erika's Bellossom;エリカのキレイハナ;Pokémon;Grass;182;Motofumi Fujiwara;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169407.jpg;ecardvs
60;60;Common;Cotovol d'Erika;Erika's Jumpluff;エリカのワタッコ;Pokémon;Grass;189;Motofumi Fujiwara;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169408.jpg;ecardvs
61;61;Common;Dardargnan de Jeannine;Janine's Beedrill;アンズのスピアー;Pokémon;Grass;15;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169423.jpg;ecardvs
62;62;Common;Arbok de Jeannine;Janine's Arbok;アンズのアーボック;Pokémon;Grass;24;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169421.jpg;ecardvs
63;63;Common;Aéromite de Jeannine;Janine's Venomoth;アンズのモルフォン;Pokémon;Grass;49;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169428.jpg;ecardvs
