rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_1.png;https://images.pokemontcg.io/dp7/1.png;dp7
2;2;Rare Holo;;Pingoléon;Empoleon;Pokémon;Metal;395;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_2.png;https://images.pokemontcg.io/dp7/2.png;dp7
3;3;Rare Holo;;Simiabraz;Infernape;Pokémon;Fighting;392;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_3.png;https://images.pokemontcg.io/dp7/3.png;dp7
4;4;Rare Holo;;Lumineon;Lumineon;Pokémon;Water;457;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_4.png;https://images.pokemontcg.io/dp7/4.png;dp7
5;5;Rare Holo;;Magnézone;Magnezone;Pokémon;Metal;462;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_5.png;https://images.pokemontcg.io/dp7/5.png;dp7
6;6;Rare Holo;;Magnézone;Magnezone;Pokémon;Lightning;462;Tomoaki Imakuni;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_6.png;https://images.pokemontcg.io/dp7/6.png;dp7
7;7;Rare Holo;;Magirêve;Mismagius;Pokémon;Psychic;429;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_7.png;https://images.pokemontcg.io/dp7/7.png;dp7
8;8;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_8.png;https://images.pokemontcg.io/dp7/8.png;dp7
9;9;Rare Holo;;Regigigas;Regigigas;Pokémon;Colorless;486;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_9.png;https://images.pokemontcg.io/dp7/9.png;dp7
10;10;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_10.png;https://images.pokemontcg.io/dp7/10.png;dp7
11;11;Rare Holo;;Torterra;Torterra;Pokémon;Fighting;389;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_11.png;https://images.pokemontcg.io/dp7/11.png;dp7
12;12;Rare;;Blizzaroi;Abomasnow;Pokémon;Water;460;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_12.png;https://images.pokemontcg.io/dp7/12.png;dp7
13;13;Rare;;Archeodong;Bronzong;Pokémon;Psychic;437;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_13.png;https://images.pokemontcg.io/dp7/13.png;dp7
14;14;Rare;;Ceriflor;Cherrim;Pokémon;Grass;421;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_14.png;https://images.pokemontcg.io/dp7/14.png;dp7
15;15;Rare;;Drascore;Drapion;Pokémon;Darkness;452;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_15.png;https://images.pokemontcg.io/dp7/15.png;dp7
16;16;Rare;;Grodrive;Drifblim;Pokémon;Psychic;426;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_16.png;https://images.pokemontcg.io/dp7/16.png;dp7
17;17;Rare;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Tomoaki Imakuni;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP7/DP7_FR_17.png;https://images.pokemontcg.io/dp7/17.png;dp7
