rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
33;33;Common;;Stari;Staryu;Pokémon;Water;120;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_33.png;https://images.pokemontcg.io/xy1/33.png;xy1
34;34;Rare;;Staross;Starmie;Pokémon;Water;121;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_34.png;https://images.pokemontcg.io/xy1/34.png;xy1
35;35;Rare Holo;;Lokhlass;Lapras;Pokémon;Water;131;Hitoshi Ariga;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_35.png;https://images.pokemontcg.io/xy1/35.png;xy1
36;36;Uncommon;;Corayon;Corsola;Pokémon;Water;222;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_36.png;https://images.pokemontcg.io/xy1/36.png;xy1
37;37;Common;;Flotajou;Panpour;Pokémon;Water;515;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_37.png;https://images.pokemontcg.io/xy1/37.png;xy1
38;38;Rare;;Flotoutan;Simipour;Pokémon;Water;516;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_38.png;https://images.pokemontcg.io/xy1/38.png;xy1
39;39;Common;;Grenousse;Froakie;Pokémon;Water;656;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_39.png;https://images.pokemontcg.io/xy1/39.png;xy1
40;40;Uncommon;;Croâporal;Frogadier;Pokémon;Water;657;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_40.png;https://images.pokemontcg.io/xy1/40.png;xy1
41;41;Rare Holo;;Amphinobi;Greninja;Pokémon;Water;658;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_41.png;https://images.pokemontcg.io/xy1/41.png;xy1
42;42;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_42.png;https://images.pokemontcg.io/xy1/42.png;xy1
43;43;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_43.png;https://images.pokemontcg.io/xy1/43.png;xy1
44;44;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_44.png;https://images.pokemontcg.io/xy1/44.png;xy1
45;45;Uncommon;;Électrode;Electrode;Pokémon;Lightning;101;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_45.png;https://images.pokemontcg.io/xy1/45.png;xy1
46;46;Ultra;EX;Emolga-EX;Emolga-EX;Pokémon;Lightning;587;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_46.png;https://images.pokemontcg.io/xy1/46.png;xy1
47;47;Common;;Abo;Ekans;Pokémon;Psychic;23;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_47.png;https://images.pokemontcg.io/xy1/47.png;xy1
48;48;Rare;;Arbok;Arbok;Pokémon;Psychic;24;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_48.png;https://images.pokemontcg.io/xy1/48.png;xy1
49;49;Common;;Spoink;Spoink;Pokémon;Psychic;325;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_49.png;https://images.pokemontcg.io/xy1/49.png;xy1
50;50;Rare;;Groret;Grumpig;Pokémon;Psychic;326;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_50.png;https://images.pokemontcg.io/xy1/50.png;xy1
51;51;Common;;Venipatte;Venipede;Pokémon;Psychic;543;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_51.png;https://images.pokemontcg.io/xy1/51.png;xy1
52;52;Uncommon;;Scobolide;Whirlipede;Pokémon;Psychic;544;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_52.png;https://images.pokemontcg.io/xy1/52.png;xy1
53;53;Rare;;Brutapode;Scolipede;Pokémon;Psychic;545;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_53.png;https://images.pokemontcg.io/xy1/53.png;xy1
54;54;Common;;Brocélôme;Phantump;Pokémon;Psychic;708;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_54.png;https://images.pokemontcg.io/xy1/54.png;xy1
55;55;Rare Holo;;Désséliande;Trevenant;Pokémon;Psychic;709;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_55.png;https://images.pokemontcg.io/xy1/55.png;xy1
56;56;Common;;Pitrouille;Pumpkaboo;Pokémon;Psychic;710;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_56.png;https://images.pokemontcg.io/xy1/56.png;xy1
57;57;Rare Holo;;Banshitrouye;Gourgeist;Pokémon;Psychic;711;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_57.png;https://images.pokemontcg.io/xy1/57.png;xy1
58;58;Common;;Taupiqueur;Diglett;Pokémon;Fighting;50;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_58.png;https://images.pokemontcg.io/xy1/58.png;xy1
59;59;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Toyste Beach;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_59.png;https://images.pokemontcg.io/xy1/59.png;xy1
60;60;Common;;Rhinocorne;Rhyhorn;Pokémon;Fighting;111;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_60.png;https://images.pokemontcg.io/xy1/60.png;xy1
61;61;Rare;;Rhinoféros;Rhydon;Pokémon;Fighting;112;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_61.png;https://images.pokemontcg.io/xy1/61.png;xy1
62;62;Rare Holo;;Rhinastoc;Rhyperior;Pokémon;Fighting;464;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_62.png;https://images.pokemontcg.io/xy1/62.png;xy1
63;63;Uncommon;;Séléroc;Lunatone;Pokémon;Fighting;337;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_63.png;https://images.pokemontcg.io/xy1/63.png;xy1
64;64;Uncommon;;Solaroc;Solrock;Pokémon;Fighting;338;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_64.png;https://images.pokemontcg.io/xy1/64.png;xy1
65;65;Common;;Charpenti;Timburr;Pokémon;Fighting;532;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_65.png;https://images.pokemontcg.io/xy1/65.png;xy1
66;66;Uncommon;;Ouvrifier;Gurdurr;Pokémon;Fighting;533;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_66.png;https://images.pokemontcg.io/xy1/66.png;xy1
67;67;Rare;;Bétochef;Conkeldurr;Pokémon;Fighting;534;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_67.png;https://images.pokemontcg.io/xy1/67.png;xy1
68;68;Uncommon;;Ténéfix;Sableye;Pokémon;Darkness;302;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/XY1/XY1_FR_68.png;https://images.pokemontcg.io/xy1/68.png;xy1
