rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Common;;Aspicot;Weedle;Pokémon;Grass;13;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_1.png;https://images.pokemontcg.io/bw9/1.png;bw9
2;2;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_2.png;https://images.pokemontcg.io/bw9/2.png;bw9
3;3;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_3.png;https://images.pokemontcg.io/bw9/3.png;bw9
4;4;Uncommon;;Noeunoeuf;Exeggcute;Pokémon;Grass;102;Shigenori Negishi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_4.png;https://images.pokemontcg.io/bw9/4.png;bw9
5;5;Rare;;Noadkoko;Exeggutor;Pokémon;Grass;103;match;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_5.png;https://images.pokemontcg.io/bw9/5.png;bw9
6;6;Common;;Arcko;Treecko;Pokémon;Grass;252;Naoki Saito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_6.png;https://images.pokemontcg.io/bw9/6.png;bw9
7;7;Uncommon;;Massko;Grovyle;Pokémon;Grass;253;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_7.png;https://images.pokemontcg.io/bw9/7.png;bw9
8;8;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;kawayoo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_8.png;https://images.pokemontcg.io/bw9/8.png;bw9
9;9;Common;;Cacnéa;Cacnea;Pokémon;Grass;331;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_9.png;https://images.pokemontcg.io/bw9/9.png;bw9
10;10;Rare;;Cacturne;Cacturne;Pokémon;Grass;332;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_10.png;https://images.pokemontcg.io/bw9/10.png;bw9
11;11;Rare;;Phyllali;Leafeon;Pokémon;Grass;470;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_11.png;https://images.pokemontcg.io/bw9/11.png;bw9
12;12;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_12.png;https://images.pokemontcg.io/bw9/12.png;bw9
13;13;Ultra;EX;Heatran-EX;Heatran-EX;Pokémon;Fire;485;Eske Yoshinob;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_13.png;https://images.pokemontcg.io/bw9/13.png;bw9
14;14;Common;;Funécire;Litwick;Pokémon;Fire;607;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_14.png;https://images.pokemontcg.io/bw9/14.png;bw9
15;15;Uncommon;;Mélancolux;Lampent;Pokémon;Fire;608;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_15.png;https://images.pokemontcg.io/bw9/15.png;bw9
16;16;Rare Holo;;Lugulabre;Chandelure;Pokémon;Fire;609;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_16.png;https://images.pokemontcg.io/bw9/16.png;bw9
17;17;Rare Holo;;Reshiram;Reshiram;Pokémon;Fire;643;Shin Nagasawa;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_17.png;https://images.pokemontcg.io/bw9/17.png;bw9
18;18;Common;;Hypotrempe;Horsea;Pokémon;Water;116;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_18.png;https://images.pokemontcg.io/bw9/18.png;bw9
19;19;Uncommon;;Hypocéan;Seadra;Pokémon;Water;117;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_19.png;https://images.pokemontcg.io/bw9/19.png;bw9
20;20;Uncommon;;Aquali;Vaporeon;Pokémon;Water;134;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_20.png;https://images.pokemontcg.io/bw9/20.png;bw9
21;21;Common;;Axoloto;Wooper;Pokémon;Water;194;sui;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_21.png;https://images.pokemontcg.io/bw9/21.png;bw9
22;22;Rare;;Maraiste;Quagsire;Pokémon;Water;195;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_22.png;https://images.pokemontcg.io/bw9/22.png;bw9
23;23;Rare;;Givrali;Glaceon;Pokémon;Water;471;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_23.png;https://images.pokemontcg.io/bw9/23.png;bw9
24;24;Common;;Tritonde;Tympole;Pokémon;Water;535;MAHOU;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_24.png;https://images.pokemontcg.io/bw9/24.png;bw9
25;25;Uncommon;;Batracné;Palpitoad;Pokémon;Water;536;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_25.png;https://images.pokemontcg.io/bw9/25.png;bw9
26;26;Rare;;Crapustule;Seismitoad;Pokémon;Water;537;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_26.png;https://images.pokemontcg.io/bw9/26.png;bw9
27;27;Common;;Sorbébé;Vanillite;Pokémon;Water;582;Akira Komayama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_27.png;https://images.pokemontcg.io/bw9/27.png;bw9
28;28;Uncommon;;Sorboul;Vanillish;Pokémon;Water;583;Kyoko Umemoto;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_28.png;https://images.pokemontcg.io/bw9/28.png;bw9
29;29;Rare;;Sorbouboul;Vanilluxe;Pokémon;Water;584;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_29.png;https://images.pokemontcg.io/bw9/29.png;bw9
30;30;Uncommon;;Hexagel;Cryogonal;Pokémon;Water;615;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_30.png;https://images.pokemontcg.io/bw9/30.png;bw9
31;31;Rare Holo;;Kyurem;Kyurem;Pokémon;Water;646;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_31.png;https://images.pokemontcg.io/bw9/31.png;bw9
32;32;Common;;Voltorbe;Voltorb;Pokémon;Lightning;100;Sumiyoshi Kizuki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_32.png;https://images.pokemontcg.io/bw9/32.png;bw9
33;33;Rare Holo;;Électrode;Electrode;Pokémon;Lightning;101;HiRON;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_33.png;https://images.pokemontcg.io/bw9/33.png;bw9
34;34;Uncommon;;Voltali;Jolteon;Pokémon;Lightning;135;5ban Graphics;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/BW9/BW9_FR_34.png;https://images.pokemontcg.io/bw9/34.png;bw9
