rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
92;;Ultra;;Darkrai LV.X;Darkrai LV.X;ダークライ;Pokémon;Darkness;491;Shizurow;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148450.jpg;dp3
93;;Rare;;Cheniselle Cape Dechet;Wormadam Trash Cloak;ミノマダム;Pokémon;Metal;413;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10656.JPG;dp3
94;;Ultra;;Dialga LV.X;Dialga LV.X;ディアルガ;Pokémon;Metal;483;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463568.jpg;dp3
95;;Common;;Roucool;Pidgey;ポッポ;Pokémon;Colorless;16;Hironobu Yoshida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10630.JPG;dp3
96;;Uncommon;;Roucoups;Pidgeotto;ピジョン;Pokémon;Colorless;17;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10631.JPG;dp3
97;;Rare;;Roucarnage;Pidgeot;ピジョット;Pokémon;Colorless;18;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10632.JPG;dp3
98;;Common;;Rattata;Rattata;コラッタ;Pokémon;Colorless;19;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10633.JPG;dp3
99;;Uncommon;;Rattatac;Raticate;ラッタ;Pokémon;Colorless;20;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10634.JPG;dp3
100;;Common;;Mélofée;Clefairy;ピッピ;Pokémon;Colorless;35;Lee HyunJung;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10649.JPG;dp3
101;;Uncommon;;Canarticho;Farfetch'd;カモネギ;Pokémon;Colorless;83;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10635.JPG;dp3
102;;Common;;Excelangue;Lickitung;ベロリンガ;Pokémon;Colorless;108;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10636.JPG;dp3
