rank;energy_type;rarety_type;ultra_type;fr_name;en_name;super_type;pokedex_number;artist;jap_url;list
28;Psychic;Uncommon;;Flagadoss;Slowbro;Pokémon;80;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168212.jpg;base3
29;Psychic;Uncommon;;Fantominus;Gastly;Pokémon;92;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168193.jpg;base3
30;Psychic;Rare Holo;;Spectrum;Haunter;Pokémon;93;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1111079.jpg;base3
31;Psychic;Rare Holo;;Ectoplasma;Gengar;Pokémon;94;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095428.jpg;base3
32;Psychic;Rare Holo;;Hypnomade;Hypno;Pokémon;97;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104950.jpg;base3
33;Psychic;Rare Holo;;Mew;Mew;Pokémon;151;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095435.jpg;
34;Fighting;Uncommon;;Sablaireau;Sandslash;Pokémon;28;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168209.jpg;base3
35;Fighting;Common;;Racaillou;Geodude;Pokémon;74;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168194.jpg;base3
36;Fighting;Uncommon;;Gravalanch;Graveler;Pokémon;75;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168198.jpg;base3
37;Fighting;Uncommon;;Grolem;Golem;Pokémon;76;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168197.jpg;base3
