rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;us_url;list
41;41;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Tomokazu Komiya;https://images.pokemontcg.io/pl4/41.png;pl4
42;42;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Mitsuhiro Arita;https://images.pokemontcg.io/pl4/42.png;pl4
43;43;Uncommon;;Luxio;Luxio;Pokémon;Lightning;404;Suwama Chiaki;https://images.pokemontcg.io/pl4/43.png;pl4
44;44;Uncommon;;Elecsprint;Manectric;Pokémon;Lightning;310;Shin Nagasawa;https://images.pokemontcg.io/pl4/44.png;pl4
45;45;Uncommon;;Bekipan;Pelipper;Pokémon;Water;279;Naoyo Kimura;https://images.pokemontcg.io/pl4/45.png;pl4
46;46;Uncommon;;Ponyta;Ponyta;Pokémon;Fire;77;Kanako Eo;https://images.pokemontcg.io/pl4/46.png;pl4
47;47;Uncommon;;Galopa;Rapidash;Pokémon;Fire;78;Midori Harada;https://images.pokemontcg.io/pl4/47.png;pl4
48;48;Uncommon;;Drackhaus;Shelgon;Pokémon;Colorless;372;Atsuko Nishida;https://images.pokemontcg.io/pl4/48.png;pl4
49;49;Uncommon;;Cheniselle Cape Plante;Wormadam Plant Cloak;Pokémon;Grass;413;Kouki Saitou;https://images.pokemontcg.io/pl4/49.png;pl4
50;50;Uncommon;;Cheniselle Cape Sable;Wormadam Sandy Cloak;Pokémon;Fighting;413;Atsuko Nishida;https://images.pokemontcg.io/pl4/50.png;pl4
51;51;Uncommon;;Cheniselle Cape Dechet;Wormadam Trash Cloak;Pokémon;Metal;413;Miki Tanaka;https://images.pokemontcg.io/pl4/51.png;pl4
52;52;Common;;Draby;Bagon;Pokémon;Colorless;371;Naoyo Kimura;https://images.pokemontcg.io/pl4/52.png;pl4
53;53;Common;;Dardargnan G;Beedrill G;Pokémon;Grass;15;Wataru Kawahara;https://images.pokemontcg.io/pl4/53.png;pl4
54;54;Common;;Archeomire;Bronzor;Pokémon;Metal;436;Masakazu Fukuda;https://images.pokemontcg.io/pl4/54.png;pl4
55;55;Common;;Laporeille;Buneary;Pokémon;Colorless;427;sui;https://images.pokemontcg.io/pl4/55.png;pl4
56;56;Common;;Cheniti Cape Plante;Burmy Plant Cloak;Pokémon;Grass;412;Kyoko Umemoto;https://images.pokemontcg.io/pl4/56.png;pl4
57;57;Common;;Cheniti Cape Sable;Burmy Sandy Cloak;Pokémon;Grass;412;Tomokazu Komiya;https://images.pokemontcg.io/pl4/57.png;pl4
58;58;Common;;Cheniti Cape Déchet;Burmy Trash Cloak;Pokémon;Grass;412;Yukiko Baba;https://images.pokemontcg.io/pl4/58.png;pl4
59;59;Common;;Salamèche;Charmander;Pokémon;Fire;4;Suwama Chiaki;https://images.pokemontcg.io/pl4/59.png;pl4
60;60;Common;;Ceribou;Cherubi;Pokémon;Grass;420;Yuka Morii;https://images.pokemontcg.io/pl4/60.png;pl4
61;61;Common;;Cradopaud;Croagunk;Pokémon;Fighting;453;Tomokazu Komiya;https://images.pokemontcg.io/pl4/61.png;pl4
62;62;Common;;Dynavolt;Electrike;Pokémon;Lightning;309;Yukiko Baba;https://images.pokemontcg.io/pl4/62.png;pl4
63;63;Common;;Dynavolt;Electrike;Pokémon;Lightning;309;Shin Nagasawa;https://images.pokemontcg.io/pl4/63.png;pl4
64;64;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Mitsuhiro Arita;https://images.pokemontcg.io/pl4/64.png;pl4
65;65;Common;;Racaillou;Geodude;Pokémon;Fighting;74;Motofumi Fujiwara;https://images.pokemontcg.io/pl4/65.png;pl4
66;66;Common;;Gloupti;Gulpin;Pokémon;Psychic;316;Sumiyoshi Kizuki;https://images.pokemontcg.io/pl4/66.png;pl4
67;67;Common;;Kabuto;Kabuto;Pokémon;Fighting;140;Hironobu Yoshida;https://images.pokemontcg.io/pl4/67.png;pl4
68;68;Common;;Makuhita;Makuhita;Pokémon;Fighting;296;sui;https://images.pokemontcg.io/pl4/68.png;pl4
69;69;Common;;Tarinor;Nosepass;Pokémon;Fighting;299;Midori Harada;https://images.pokemontcg.io/pl4/69.png;pl4
70;70;Common;;Amonita;Omanyte;Pokémon;Water;138;Aya Kusube;https://images.pokemontcg.io/pl4/70.png;pl4
71;71;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;sui;https://images.pokemontcg.io/pl4/71.png;pl4
72;72;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Midori Harada;https://images.pokemontcg.io/pl4/72.png;pl4
73;73;Common;;Rattata;Rattata;Pokémon;Colorless;19;Miki Tanaka;https://images.pokemontcg.io/pl4/73.png;pl4
74;74;Common;;Lixy;Shinx;Pokémon;Lightning;403;sui;https://images.pokemontcg.io/pl4/74.png;pl4
75;75;Common;;Stalgamin;Snorunt;Pokémon;Water;361;Yuka Morii;https://images.pokemontcg.io/pl4/75.png;pl4
76;76;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Mitsuhiro Arita;https://images.pokemontcg.io/pl4/76.png;pl4
77;77;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Kagemaru Himeno;https://images.pokemontcg.io/pl4/77.png;pl4
78;78;Common;;Arcko;Treecko;Pokémon;Grass;252;TOKIYA;https://images.pokemontcg.io/pl4/78.png;pl4
79;79;Common;;Arcko;Treecko;Pokémon;Grass;252;Kouki Saitou;https://images.pokemontcg.io/pl4/79.png;pl4
80;80;Common;;Goelise;Wingull;Pokémon;Water;278;Kyoko Umemoto;https://images.pokemontcg.io/pl4/80.png;pl4
81;81;Common;;Goelise;Wingull;Pokémon;Water;278;Naoyo Kimura;https://images.pokemontcg.io/pl4/81.png;pl4
82;82;Uncommon;;Porte de départ;Beginning Door;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/82.png;pl4
83;83;Uncommon;;Bench Shield;Bench Shield;Trainer;NoColor;;Wataru Kawahara;https://images.pokemontcg.io/pl4/83.png;pl4
84;84;Uncommon;;Pare-chocs;Buffer Piece;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/84.png;pl4
85;85;Uncommon;;Department Store;Department Store Girl;Trainer;NoColor;;Kanako Eo;https://images.pokemontcg.io/pl4/85.png;pl4
86;86;Uncommon;;Restauration d'Énergie;Energy Restore;Trainer;NoColor;;Ryo Ueda;https://images.pokemontcg.io/pl4/86.png;pl4
87;87;Uncommon;;Ceinture Expert;Expert Belt;Trainer;NoColor;;Wataru Kawahara;https://images.pokemontcg.io/pl4/87.png;pl4
88;88;Uncommon;;Oeuf Chance;Oeuf Chance;Trainer;NoColor;;Nobuyuki Fujimoto;https://images.pokemontcg.io/pl4/88.png;pl4
