rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
1;1;Rare Holo;;Arcanin;Arcanine;Pokémon;Fire;59;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_1.png;https://images.pokemontcg.io/pl2/1.png;pl2
2;2;Rare Holo;;Bastiodon GL;Bastiodon GL;Pokémon;Metal;411;Hajime Kusajima;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_2.png;https://images.pokemontcg.io/pl2/2.png;pl2
3;3;Rare Holo;;Darkrai G;Darkrai G;Pokémon;Darkness;491;Makoto Imai;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_3.png;https://images.pokemontcg.io/pl2/3.png;pl2
4;4;Rare Holo;;Mustéflott GL;Floatzel GL;Pokémon;Water;419;Midori Harada;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_4.png;https://images.pokemontcg.io/pl2/4.png;pl2
5;5;Rare Holo;;Libégon;Flygon;Pokémon;Colorless;330;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_5.png;https://images.pokemontcg.io/pl2/5.png;pl2
6;6;Rare Holo;;Momartik GL;Froslass GL;Pokémon;Water;478;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_6.png;https://images.pokemontcg.io/pl2/6.png;pl2
7;7;Rare Holo;;Jirachi;Jirachi;Pokémon;Metal;385;Kenkichi Toyama;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_7.png;https://images.pokemontcg.io/pl2/7.png;pl2
8;8;Rare Holo;;Lucario GL;Lucario GL;Pokémon;Fighting;448;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_8.png;https://images.pokemontcg.io/pl2/8.png;pl2
9;9;Rare Holo;;Luxray GL;Luxray GL;Pokémon;Lightning;405;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_9.png;https://images.pokemontcg.io/pl2/9.png;pl2
10;10;Rare Holo;;Magirêve GL;Mismagius GL;Pokémon;Psychic;429;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_10.png;https://images.pokemontcg.io/pl2/10.png;pl2
11;11;Rare Holo;;Charkos GL;Rampardos GL;Pokémon;Fighting;409;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_11.png;https://images.pokemontcg.io/pl2/11.png;pl2
12;12;Rare Holo;;Roserade Gl;Roserade GL;Pokémon;Grass;407;Kanako Eo;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_12.png;https://images.pokemontcg.io/pl2/12.png;pl2
13;13;Rare Holo;;Tengalice;Shiftry;Pokémon;Darkness;275;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_13.png;https://images.pokemontcg.io/pl2/13.png;pl2
14;14;Rare;;Galeking;Aggron;Pokémon;Metal;306;Naoyo Kimura;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_14.png;https://images.pokemontcg.io/pl2/14.png;pl2
15;15;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_15.png;https://images.pokemontcg.io/pl2/15.png;pl2
16;16;Rare;;Archéodong 4;Bronzong 4;Pokémon;Psychic;437;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_16.png;https://images.pokemontcg.io/pl2/16.png;pl2
17;17;Rare;;Drascore 4;Drapion 4;Pokémon;Darkness;452;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_17.png;https://images.pokemontcg.io/pl2/17.png;pl2
18;18;Rare;;Mentali 4;Espeon 4;Pokémon;Psychic;196;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/PL2/PL2_FR_18.png;https://images.pokemontcg.io/pl2/18.png;pl2
