rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Smogo;Koffing;ドガース;Pokémon;Grass;109;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461540.jpg;ex1
2;2;Rare;;Smogogo;Weezing;マタドガス;Pokémon;Grass;110;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461541.jpg;ex1
3;3;Rare Holo;;Jungko;Sceptile;ジュカイン;Pokémon;Grass;254;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461542.jpg;ex1
4;4;Common;;Chenipotte;Wurmple;ケムッソ;Pokémon;Grass;265;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461543.jpg;ex1
5;5;Uncommon;;Armulys;Silcoon;カラサリス;Pokémon;Grass;266;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461544.jpg;ex1
6;6;Rare Holo;;Charmillon;Beautifly;アゲハント;Pokémon;Grass;267;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461545.jpg;ex1
7;7;Uncommon;;Blindalys;Cascoon;マユルド;Pokémon;Grass;268;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461546.jpg;ex1
8;8;Rare Holo;;Papinox;Dustox;ドクケイル;Pokémon;Grass;269;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461547.jpg;ex1
9;9;Common;;Balignon;Shroomish;キノココ;Pokémon;Grass;285;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461548.jpg;ex1
10;10;Rare;;Chapignon;Breloom;キノガッサ;Pokémon;Grass;286;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461549.jpg;ex1
