rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;/001;/053;Common;;Grainipiot;Seedot;タネボー;Pokémon;Grass;273;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/cdc85eb0d1d811e5a49bf352c2f77c99/seedot.jpg;ex2
2;/002;/053;Uncommon;;Pifeuil;Nuzleaf;コノハナ;Pokémon;Grass;274;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/e755ec90d1d711e59b527b7970d928a3/Nuzleaf.jpg;ex2
3;/003;/053;Rare Holo;;Tengalice;Shiftry;ダーテング;Pokémon;Grass;275;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/dfd3a9c0d1d811e5a0d9a7e2979a2522/shiftry.jpg;ex2
4;/004;/053;Rare;;Muciole;Volbeat;バルビート;Pokémon;Grass;313;Kyoko Umemoto;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/fee352c0d1d811e5a0d9a7e2979a2522/volbeat.jpg;ex2
5;/005;/053;Rare;;Lumivole;Illumise;イルミーゼ;Pokémon;Grass;314;Kyoko Umemoto;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2ae60680d1d711e5bba95dba1718f51b/other%20volbeat.jpg;ex2
6;/006;/053;Uncommon;;Cacnéa;Cacnea;サボネア;Pokémon;Grass;331;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/616c4440d1d611e5afe1d1d1276b27c7/Cacnea.jpg;ex2
7;/007;/053;Rare Holo;;Cacturne;Cacturne;ノクタス;Pokémon;Grass;332;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6bf73dc0d1d611e5a2dea16a64fc095b/cacturne.jpg;ex2
8;/008;/053;Rare Holo;;Seviper;Seviper;ハブネーク;Pokémon;Grass;336;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/efa27ce0d1d911e594a33372a0f38a9d/seviper.jpg;ex2
9;/009;/053;Uncommon;;Lilia;Lileep;リリーラ;Pokémon;Grass;345;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/5d9926c0d1d711e5a26e3da09efbe53d/lileep.jpg;ex2
10;/010;/053;Rare Holo;;Vacilys;Cradily;ユレイドル;Pokémon;Grass;346;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a1095ca0d1d611e5a0d9a7e2979a2522/Cradily.jpg;ex2
11;/011;/053;Common;;Héricendre;Cyndaquil;ヒノアラシ;Pokémon;Fire;155;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/c6a9a000d1d611e59d9a7fc0bebf2f7a/cyndaquil.jpg;ex2
12;/012;/053;Rare;;Feurisson;Quilava;マグマラシ;Pokémon;Fire;156;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/706b00b0d1d811e586e3379f27a3e451/quilava.jpg;ex2
13;/013;/053;Ultra;ex;Typhlosion ex;Typhlosion ex;バクフーンex;Pokémon;Fire;157;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/de2519f0d1d911e581ed73d3c010dcbe/typhlosion.jpg;ex2
14;/014;/053;Common;;Psykokwak;Psyduck;コダック;Pokémon;Water;54;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/5214bca0d1d811e5a2dea16a64fc095b/psyduck.jpg;ex2
15;/015;/053;Rare;;Akwakwak;Golduck;ヌオー;Pokémon;Water;55;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/06e9fd40d1d711e5a0d9a7e2979a2522/golduck.jpg;ex2
16;/016;/053;Common;;Marill;Marill;マリル;Pokémon;Water;183;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a4279c80d1ea11e59d9a7fc0bebf2f7a/azurill.jpg;ex2
17;/017;/053;Rare;;Azumarill;Azumarill;マリルリ;Pokémon;Water;184;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/35d5f8d0d1d611e5a49bf352c2f77c99/Azumarill.jpg;ex2
18;/018;/053;Common;;Nenupiot;Lotad;ハスボー;Pokémon;Water;270;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/84994840d1d711e5970ff9195273f653/lotad.jpg;ex2
19;/019;/053;Rare;;Lombre;Lombre;ハスブレロ;Pokémon;Water;271;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6f6f5810d1d711e5b94cdbff72d36703/hat%20platypus.jpg;ex2
20;/020;/053;Rare Holo;;Ludicolo;Ludicolo;ルンパッパ;Pokémon;Water;272;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/8f3ef5b0d1d711e58331a7e4f9d3924d/ludicolo.jpg;ex2
21;/021;/053;Ultra;ex;Wailord ex;Wailord ex;ホエルオーex;Pokémon;Water;321;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/0ca8ddd0d1d911e5a49bf352c2f77c99/wailord.jpg;ex2
22;/022;/053;Common;;Pikachu;Pikachu;ピカチュウ;Pokémon;Lightning;25;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/3ed55e60d1d811e586e3379f27a3e451/pikachu.jpg;ex2
23;/023;/053;Ultra;ex;Raichu ex;Raichu ex;ライチュウex;Pokémon;Lightning;26;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/7e677a40d1d811e58346575147f8cd74/raichu.jpg;ex2
24;/024;/053;Rare;;Pichu;Pichu;ピチュー;Pokémon;Lightning;172;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f7b116a0d1d711e58662a34f25c8b392/pichu.jpg;ex2
25;/025;/053;Common;;Natu;Natu;ネイティ;Pokémon;Psychic;177;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/c9cc9570d1d711e58331a7e4f9d3924d/natu.jpg;ex2
26;/026;/053;Rare;;Xatu;Xatu;ネイティオ;Pokémon;Psychic;178;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/509ccd30d1d911e584927dd1e0f608cf/xatu.jpg;ex2
27;/027;/053;Rare;;Qulbutoke;Wobbuffet;ソーナンス;Pokémon;Psychic;202;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/267b4770d1d911e586e3379f27a3e451/wobuffet.jpg;ex2
28;/028;/053;Ultra;ex;Gardevoir ex;Gardevoir ex;サーナイトex;Pokémon;Psychic;282;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/fd6995f0d1d611e5a49bf352c2f77c99/gardevoir.jpg;ex2
29;/029;/053;Rare Holo;;Séléroc;Lunatone;ルナトーン;Pokémon;Psychic;337;Hajime Kusajima;https://res.cloudinary.com/dkhwpritu/image/upload/v1557048160/modifs/luna.jpg;ex2
30;/030;/053;Uncommon;;Skelenox;Duskull;ヨマワル;Pokémon;Psychic;355;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f0812470d1d611e586e3379f27a3e451/duskull.jpg;ex2
31;/031;/053;Rare Holo;;Teraclope;Dusclops;サマヨール;Pokémon;Psychic;356;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/dcb38ff0d1d611e5b7dd4752ce950c96/dusclups.jpg;ex2
32;/032;/053;Uncommon;;Okéoké;Wynaut;ソーナノ;Pokémon;Psychic;360;Kagemaru Himeno;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2e827c40d1d911e5a49bf352c2f77c99/wwwwwwww.jpg;ex2
33;/033;/053;Common;;Sabelette;Sandshrew;サンド;Pokémon;Fighting;27;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/bd0ee800d1d811e5a49bf352c2f77c99/sandshrew.jpg;ex2
34;/034;/053;Rare;;Sablaireau;Sandslash;サンドパン;Pokémon;Fighting;28;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/c5aa1f70d1d811e5a49bf352c2f77c99/sandslash.jpg;ex2
35;/035;/053;Common;;Kraknoix;Trapinch;ナックラー;Pokémon;Fighting;328;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f3ac61d0d1d811e584927dd1e0f608cf/trapinch.jpg;ex2
36;/036;/053;Rare Holo;;Solaroc;Solrock;ソルロック;Pokémon;Fighting;338;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/eb8289d0d1d811e58346575147f8cd74/solrock.jpg;ex2
37;/037;/053;Uncommon;;Balbuto;Baltoy;ヤジロン;Pokémon;Fighting;343;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/57498270d1d611e58346575147f8cd74/baltoy.jpg;ex2
38;/038;/053;Rare;;Anorith;Anorith;アノプス;Pokémon;Fighting;347;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/1f1ae150d1d611e5a2dea16a64fc095b/anorith.jpg;ex2
39;/039;/053;Rare Holo;;Armaldo;Armaldo;アーマルド;Pokémon;Fighting;348;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2d6aab00d1d611e5afe1d1d1276b27c7/armaldo.jpg;ex2
