rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
44;44;Uncommon;;Balbuto de Team Magma;Team Magma's Baltoy;マグマ団のヤジロン;Pokémon;Psychic;343;Atsuko Ujiie;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471791.jpg;ex4
45;45;Rare Holo;;Kaorine de Team Magma;Team Magma's Claydol;マグマ団のネンドール;Pokémon;Psychic;344;Zu-Ka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1475217.jpg;ex4
46;46;Common;;Racaillou;Geodude;イシツブテ;Pokémon;Fighting;74;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471737.jpg;ex4
47;47;Uncommon;;Gravalanch;Graveler;ゴローン;Pokémon;Fighting;75;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471738.jpg;ex4
48;48;Ultra;ex;Grolem ex;Golem ex;ゴローニャex;Pokémon;Fighting;76;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471794.jpg;ex4
49;49;Common;;Onix;Onix;イワーク;Pokémon;Fighting;95;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471739.jpg;ex4
50;50;Ultra;ex;Laggron ex;Swampert ex;ラグラージex;Pokémon;Fighting;260;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1475220.jpg;ex4
51;51;Uncommon;;Anorith;Anorith;アノプス;Pokémon;Fighting;347;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1475221.jpg;ex4
52;52;Uncommon;;Rhinocorne de Team Magma;Team Magma's Rhyhorn;マグマ団のサイホーン;Pokémon;Fighting;111;Mt. TBT;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471796.jpg;ex4
53;53;Rare Holo;;Rhinoféros de Team Magma;Team Magma's Rhydon;マグマ団のサイドン;Pokémon;Fighting;112;T. Honda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471797.jpg;ex4
54;54;Common;;Evoli;Eevee;イーブイ;Pokémon;Colorless;133;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471741.jpg;ex4
