rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;/001;/083;Common;;Nosférapti;Zubat;ズバット;Pokémon;Grass;41;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471813.jpg;ex5
2;/002;/083;Rare;;Nosféralto;Golbat;ゴルバット;Pokémon;Grass;42;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471814.jpg;ex5
3;/003;/083;Common;;Mystherbe;Oddish;ナゾノクサ;Pokémon;Grass;43;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471815.jpg;ex5
4;/004;/083;Uncommon;;Ortide;Gloom;クサイハナ;Pokémon;Grass;44;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471816.jpg;ex5
5;/005;/083;Ultra;ex;Rafflesia ex;Vileplume ex;ラフレシアex;Pokémon;Grass;45;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f1f86e10d43a11e5a373bb805eb25c24/vileplume.jpg;ex5
6;/006;/083;Rare Holo;;Scarabrute;Pinsir;カイロス;Pokémon;Grass;127;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471817.jpg;ex5
7;/007;/083;Rare Holo;;Nostenfer;Crobat;クロバット;Pokémon;Grass;169;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471818.jpg;ex5
8;/008;/083;Rare;;Joliflor;Bellossom;キレイハナ;Pokémon;Grass;182;Yuka Morii;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/8f708570d42611e5b5b05b9848b52f3a/bellossom.jpg;ex5
9;/009;/083;Rare Holo;;Scarhino;Heracross;ヘラクロス;Pokémon;Grass;214;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471856.jpg;ex5
10;/010;/083;Common;;Grainipiot;Seedot;タネボー;Pokémon;Grass;273;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471857.jpg;ex5
11;/011;/083;Common;;Arakdo;Surskit;アメタマ;Pokémon;Grass;283;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471819.jpg;ex5
12;/012;/083;Rare Holo;;Maskadra;Masquerain;アメモース;Pokémon;Grass;284;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471820.jpg;ex5
13;/013;/083;Common;;Gloupti;Gulpin;ゴクリン;Pokémon;Grass;316;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471821.jpg;ex5
14;/014;/083;Rare;;Avaltout;Swalot;マルノーム;Pokémon;Grass;317;Yuka Morii;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/90baa190d43a11e5b407e1ce09d70701/swalot.jpg;ex5
15;/015;/083;Rare;;Tropius;Tropius;トロピウス;Pokémon;Grass;357;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471822.jpg;ex5
16;/016;/083;Common;;Goupix;Vulpix;ロコン;Pokémon;Fire;37;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471823.jpg;ex5
17;/017;/083;Rare Holo;;Feunard;Ninetales;キュウコン;Pokémon;Fire;38;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471824.jpg;ex5
18;/018;/083;Ultra;ex;Feunard ex;Ninetales ex;キュウコンex;Pokémon;Fire;38;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471862.jpg;ex5
19;/019;/083;Rare;;Morpheo Soleil;Sunny Castform;太陽のポワルン;Pokémon;Fire;351;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471825.jpg;ex5
20;/020;/083;Common;;Tentacool;Tentacool;メノクラゲ;Pokémon;Water;72;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471863.jpg;ex5
21;/021;/083;Rare;;Tentacruel;Tentacruel;ドククラゲ;Pokémon;Water;73;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471864.jpg;ex5
22;/022;/083;Common;;Stari;Staryu;ヒトデマン;Pokémon;Water;120;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471826.jpg;ex5
23;/023;/083;Uncommon;;Corayon;Corsola;サニーゴ;Pokémon;Water;222;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471827.jpg;ex5
24;/024;/083;Uncommon;;Barpau;Feebas;ヒンバス;Pokémon;Water;349;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476657.jpg;ex5
25;/025;/083;Rare Holo;;Milobellus;Milotic;ミロカロス;Pokémon;Water;350;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471828.jpg;ex5
26;/026;/083;Rare;;Morpheo Pluie;Rain Castform;雨水のポワルン;Pokémon;Water;351;Jungo Suzuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471829.jpg;ex5
27;/027;/083;Rare;;Morpheo Neige;Snow-cloud Castform;雪雲のポワルン;Pokémon;Water;351;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471830.jpg;ex5
28;/028;/083;Common;;Stalgamin;Snorunt;ユキワラシ;Pokémon;Water;361;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471866.jpg;ex5
29;/029;/083;Rare;;Oniglali;Glalie;オニゴーリ;Pokémon;Water;362;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/bdbfc470d42811e581991b539b760c6c/Glalie.jpg;ex5
30;/030;/083;Common;;Obalie;Spheal;タマザラシ;Pokémon;Water;363;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471831.jpg;ex5
31;/031;/083;Rare;;Phogleur;Sealeo;トドグラー;Pokémon;Water;364;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471832.jpg;ex5
32;/032;/083;Rare Holo;;Kaimorse;Walrein;トドゼルガ;Pokémon;Water;365;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471833.jpg;ex5
33;/033;/083;Uncommon;;Coquiperl;Clamperl;パールル;Pokémon;Water;366;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471834.jpg;ex5
34;/034;/083;Rare Holo;;Serpang;Huntail;ハンテール;Pokémon;Water;367;Kagemaru Himeno;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/d0b35730d42911e5901151cfbdddda1e/huntail.jpg;ex5
35;/035;/083;Rare Holo;;Rosabyss;Gorebyss;サクラビス;Pokémon;Water;368;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471869.jpg;ex5
36;/036;/083;Rare Holo;;Relicanth;Relicanth;ジーランス;Pokémon;Water;369;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471870.jpg;ex5
37;/037;/083;Rare;;Lovdisc;Luvdisc;ラブカス;Pokémon;Water;370;Miki Tanaka;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/bd3573e0d42a11e597cb59cd5881c64d/luvdisk.jpg;ex5
38;/038;/083;Ultra;ex;Regice ex;Regice ex;レジアイスex;Pokémon;Water;378;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/3d1760e0d42c11e5b0fb0b81bb7c4ae1/regice.jpg;ex5
