rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
52;52;Rare Holo;;Grolem;Golem;1;Pokémon;Fighting;76;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477932.jpg;ex11
53;53;Uncommon;;Kabuto;Kabuto;1;Pokémon;Fighting;140;Takao Unno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477933.jpg;ex11
54;54;Rare Holo;;Kabutops;Kabutops;1;Pokémon;Fighting;141;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477934.jpg;ex11
55;55;Common;;Kraknoix;Trapinch;1;Pokémon;Fighting;328;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477935.jpg;ex11
56;56;Rare;;Solaroc;Solrock;1;Pokémon;Fighting;338;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477936.jpg;ex11
57;57;Uncommon;;Anorith;Anorith;1;Pokémon;Fighting;347;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477851.jpg;ex11
58;58;Ultra;ex;Armaldo ex;Armaldo ex;1;Pokémon;Fighting;348;Kimiya Masago;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/753184/058%20armaldo.jpg?1501970545;ex11
59;59;Ultra;Star;Regirock;Regirock;1;Pokémon;Fighting;377;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557074107/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_18.26.26.png;ex11
60;60;Rare Holo;;Ptera;Aerodactyl;1;Pokémon;Colorless;142;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477940.jpg;ex11
61;61;Uncommon;;Insolourdo;Dunsparce;1;Pokémon;Colorless;206;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477941.jpg;ex11
