rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;fr_url;us_url;list
43;43;Uncommon;;Akwakwak;Golduck;Pokémon;Water;55;Kagemaru Himeno;;https://images.pokemontcg.io/base6/43.png;base6
44;44;Uncommon;;Gravalanch;Graveler;Pokémon;Fighting;75;Kagemaru Himeno;;https://images.pokemontcg.io/base6/44.png;base6
45;45;Uncommon;;Caninos;Growlithe;Pokémon;Fire;58;Ken Sugimori;;https://images.pokemontcg.io/base6/45.png;base6
46;46;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Ken Sugimori;;https://images.pokemontcg.io/base6/46.png;base6
47;47;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Ken Sugimori;;https://images.pokemontcg.io/base6/47.png;base6
48;48;Uncommon;;Kabuto;Kabuto;Pokémon;Fighting;140;Ken Sugimori;;https://images.pokemontcg.io/base6/48.png;base6
49;49;Uncommon;;Kadabra;Kadabra;Pokémon;Psychic;64;Ken Sugimori;;https://images.pokemontcg.io/base6/49.png;base6
50;50;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Keiji Kinebuchi;;https://images.pokemontcg.io/base6/50.png;base6
51;51;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Ken Sugimori;;https://images.pokemontcg.io/base6/51.png;base6
52;52;Uncommon;;Magicarpe;Magikarp;Pokémon;Water;129;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/52.png;base6
53;53;Uncommon;;Miaouss;Meowth;Pokémon;Colorless;52;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/53.png;base6
54;54;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Ken Sugimori;;https://images.pokemontcg.io/base6/54.png;base6
55;55;Uncommon;;Nidorina;Nidorina;Pokémon;Grass;30;Ken Sugimori;;https://images.pokemontcg.io/base6/55.png;base6
56;56;Uncommon;;Nidorino;Nidorino;Pokémon;Grass;33;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/56.png;base6
57;57;Uncommon;;Amonita;Omanyte;Pokémon;Water;138;Kagemaru Himeno;;https://images.pokemontcg.io/base6/57.png;base6
58;58;Uncommon;;Amonistar;Omastar;Pokémon;Water;139;Ken Sugimori;;https://images.pokemontcg.io/base6/58.png;base6
59;59;Uncommon;;Colossinge;Primeape;Pokémon;Fighting;57;Kagemaru Himeno;;https://images.pokemontcg.io/base6/59.png;base6
60;60;Uncommon;;Galopa;Rapidash;Pokémon;Fire;78;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/60.png;base6
61;61;Uncommon;;Rattatac;Raticate;Pokémon;Colorless;20;Ken Sugimori;;https://images.pokemontcg.io/base6/61.png;base6
62;62;Uncommon;;Sablaireau;Sandslash;Pokémon;Fighting;28;Ken Sugimori;;https://images.pokemontcg.io/base6/62.png;base6
63;63;Uncommon;;Hypocéan;Seadra;Pokémon;Water;117;Ken Sugimori;;https://images.pokemontcg.io/base6/63.png;base6
64;64;Uncommon;;Ronflex;Snorlax;Pokémon;Colorless;143;Ken Sugimori;;https://images.pokemontcg.io/base6/64.png;base6
65;65;Uncommon;;Tauros;Tauros;Pokémon;Colorless;128;Kagemaru Himeno;;https://images.pokemontcg.io/base6/65.png;base6
66;66;Uncommon;;Tentacruel;Tentacruel;Pokémon;Water;73;Kagemaru Himeno;;https://images.pokemontcg.io/base6/66.png;base6
67;67;Common;;Abra;Abra;Pokémon;Psychic;63;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/67.png;base6
68;68;Common;;Bulbizarre;Bulbasaur;Pokémon;Grass;1;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/68.png;base6
69;69;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Ken Sugimori;;https://images.pokemontcg.io/base6/69.png;base6
70;70;Common;;Salamèche;Charmander;Pokémon;Fire;4;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/70.png;base6
71;71;Common;;Doduo;Doduo;Pokémon;Colorless;84;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/71.png;base6
72;72;Common;;Minidraco;Dratini;Pokémon;Colorless;147;Ken Sugimori;;https://images.pokemontcg.io/base6/72.png;base6
73;73;Common;;Soporifik;Drowzee;Pokémon;Psychic;96;Ken Sugimori;;https://images.pokemontcg.io/base6/73.png;base6
74;74;Common;;Evoli;Eevee;Pokémon;Colorless;133;Kagemaru Himeno;;https://images.pokemontcg.io/base6/74.png;base6
75;75;Common;;Noeunoeuf;Exeggcute;Pokémon;Grass;102;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/75.png;base6
76;76;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Keiji Kinebuchi;;https://images.pokemontcg.io/base6/76.png;base6
77;77;Common;;Racaillou;Geodude;Pokémon;Fighting;74;Kagemaru Himeno;;https://images.pokemontcg.io/base6/77.png;base6
78;78;Common;;Tadmorv;Grimer;Pokémon;Grass;88;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/78.png;base6
79;79;Common;;Machoc;Machop;Pokémon;Fighting;66;Mitsuhiro Arita;;https://images.pokemontcg.io/base6/79.png;base6
80;80;Common;;Magneti;Magnemite;Pokémon;Lightning;81;Keiji Kinebuchi;;https://images.pokemontcg.io/base6/80.png;base6
81;81;Common;;Férosinge;Mankey;Pokémon;Fighting;56;Kagemaru Himeno;;https://images.pokemontcg.io/base6/81.png;base6
82;82;Common;;Nidoran F;Nidoran♀;Pokémon;Grass;29;Ken Sugimori;;https://images.pokemontcg.io/base6/82.png;base6
83;83;Common;;Nidoran M;Nidoran♂;Pokémon;Grass;32;Ken Sugimori;;https://images.pokemontcg.io/base6/83.png;base6
84;84;Common;;Onix;Onix;Pokémon;Fighting;95;Ken Sugimori;;https://images.pokemontcg.io/base6/84.png;base6
85;85;Common;;Roucool;Pidgey;Pokémon;Colorless;16;Ken Sugimori;;https://images.pokemontcg.io/base6/85.png;base6
86;86;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Ken Sugimori;;https://images.pokemontcg.io/base6/86.png;base6
