rank;number;jap_url;en_name;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;;https://www.suruga-ya.jp/database/pics_light/game/g6660959.jpg;Vileplume;;;;;;;;
2;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125488.jpg;Lickitung;;;;;;;;
3;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1125493.jpg;Primeape;;;;;;;;
4;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169145.jpg;Exeggutor;;;;;;;;
5;;https://www.suruga-ya.jp/database/pics_light/game/g6660962.jpg;Slowking;;;;;;;;
6;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169149.jpg;Wartortle;;;;;;;;
7;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169148.jpg;Tentacruel;;;;;;;;
8;;https://www.suruga-ya.jp/database/pics_light/game/g6660965.jpg;Marill;;;;;;;;
9;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169146.jpg;Lapras;;;;;;;;
