fr_name;us_name;number;code;reved;reved_name;french;fr_release_date;us_release_date;size;fr_logo_url;us_logo_url;symbol_url;fr_name_bloc
Vainqueurs Suprêmes;Supreme Victors;52;pl3;true;reverse;true;11/02/2010;19/08/2009;147;https://www.pokecardex.com/assets/images/logos/SV.png;https://images.pokemontcg.io/pl3/logo.png;https://images.pokemontcg.io/pl3/symbol.png;Platine
Rivaux Émergeants;Rising Rivals;51;pl2;true;reverse;true;06/11/2009;16/05/2009;111;https://www.pokecardex.com/assets/images/logos/RR.png;https://images.pokemontcg.io/pl2/logo.png;https://images.pokemontcg.io/pl2/symbol.png;Platine
Platine;Platinum;50;pl1;true;reverse;true;18/08/2009;11/02/2009;127;https://www.pokecardex.com/assets/images/logos/PT.png;https://images.pokemontcg.io/pl1/logo.png;https://images.pokemontcg.io/pl1/symbol.png;Platine
Tempête;Stormfront;49;dp7;true;reverse;true;15/05/2009;01/11/2008;100;https://www.pokecardex.com/assets/images/logos/SF.png;https://images.pokemontcg.io/dp7/logo.png;https://images.pokemontcg.io/dp7/symbol.png;Diamant et Perle
Éveil des Légendes;Legends Awakened;48;dp6;true;reverse;true;10/02/2009;01/08/2008;146;https://www.pokecardex.com/assets/images/logos/LA.png;https://images.pokemontcg.io/dp6/logo.png;https://images.pokemontcg.io/dp6/symbol.png;Diamant et Perle
Aube Majestueuse;Majestic Dawn;47;dp5;true;reverse;true;07/11/2008;01/05/2008;100;https://www.pokecardex.com/assets/images/logos/MD.png;https://images.pokemontcg.io/dp5/logo.png;https://images.pokemontcg.io/dp5/symbol.png;Diamant et Perle
Duels au Sommet;Great Encounters;46;dp4;true;reverse;true;29/08/2008;01/02/2008;106;https://www.pokecardex.com/assets/images/logos/GE.png;https://images.pokemontcg.io/dp4/logo.png;https://images.pokemontcg.io/dp4/symbol.png;Diamant et Perle
Merveilles Secrètes;Secret Wonders;45;dp3;true;reverse;true;16/05/2008;01/11/2007;132;https://www.pokecardex.com/assets/images/logos/SW.png;https://images.pokemontcg.io/dp3/logo.png;https://images.pokemontcg.io/dp3/symbol.png;Diamant et Perle
Trésors Mystérieux;Mysterious Treasures;44;dp2;true;reverse;true;15/02/2008;01/08/2007;123;https://www.pokecardex.com/assets/images/logos/MT.png;https://images.pokemontcg.io/dp2/logo.png;https://images.pokemontcg.io/dp2/symbol.png;Diamant et Perle
Diamant et Perle;Diamond & Pearl;43;dp1;true;reverse;true;09/11/2007;01/05/2007;130;https://www.pokecardex.com/assets/images/logos/DP.png;https://images.pokemontcg.io/dp1/logo.png;https://images.pokemontcg.io/dp1/symbol.png;Diamant et Perle
Diamant et Perle Promos;Diamond & Pearl Promos;42;dpp;false;;true;01/05/2007;01/05/2007;56;https://www.pokecardex.com/assets/images/logos/DP.png;https://images.pokemontcg.io/dp1/logo.png;https://images.pokemontcg.io/bwp/symbol.png;Diamant et Perle
Gardiens du Pouvoir;Power Keepers;41;ex16;true;reverse;true;24/08/2007;02/02/2007;108;https://www.pokecardex.com/assets/images/logos/PK.png;https://images.pokemontcg.io/ex16/logo.png;https://images.pokemontcg.io/ex16/symbol.png;Ex
Île des Dragons;Dragon Frontiers;40;ex15;true;reverse;true;18/05/2007;01/11/2006;101;https://www.pokecardex.com/assets/images/logos/DF.png;https://images.pokemontcg.io/ex15/logo.png;https://images.pokemontcg.io/ex15/symbol.png;Ex
Gardiens de Cristal;Crystal Guardians;39;ex14;true;reverse;true;09/02/2007;01/08/2006;100;https://www.pokecardex.com/assets/images/logos/CG.png;https://images.pokemontcg.io/ex14/logo.png;https://images.pokemontcg.io/ex14/symbol.png;Ex
Fantômes Holon;Holon Phantoms;38;ex13;true;reverse;true;19/11/2006;01/05/2006;110;https://www.pokecardex.com/assets/images/logos/HP.png;https://images.pokemontcg.io/ex13/logo.png;https://images.pokemontcg.io/ex13/symbol.png;Ex
Créateurs de Légendes;Legend Maker;37;ex12;true;reverse;true;01/10/2006;01/02/2006;92;https://www.pokecardex.com/assets/images/logos/LM.png;https://images.pokemontcg.io/ex12/logo.png;https://images.pokemontcg.io/ex12/symbol.png;Ex
Espèces Delta;Delta Species;36;ex11;true;reverse;true;09/06/2006;31/10/2005;113;https://www.pokecardex.com/assets/images/logos/DS.png;https://images.pokemontcg.io/ex11/logo.png;https://images.pokemontcg.io/ex11/symbol.png;Ex
Forces Cachées;Unseen Forces;35;ex10;true;reverse;true;24/03/2006;01/08/2005;115;https://www.pokecardex.com/assets/images/logos/UF.png;https://images.pokemontcg.io/ex10/logo.png;https://images.pokemontcg.io/ex10/symbol.png;Ex
Emeraude;Emerald;34;ex9;true;reverse;true;26/08/2005;01/05/2005;106;https://www.pokecardex.com/assets/images/logos/EM.png;https://images.pokemontcg.io/ex9/logo.png;https://images.pokemontcg.io/ex9/symbol.png;Ex
Deoxys;Deoxys;33;ex8;true;reverse;true;27/05/2005;01/02/2005;107;https://images.pokemontcg.io/ex8/logo.png;https://images.pokemontcg.io/ex8/logo.png;https://images.pokemontcg.io/ex8/symbol.png;Ex
Team Rocket Returns;Team Rocket Returns;32;ex7;true;reverse;false;;01/11/2004;109;https://images.pokemontcg.io/ex7/logo.png;https://images.pokemontcg.io/ex7/logo.png;https://images.pokemontcg.io/ex7/symbol.png;Ex
Rouge Feu & Vert Feuille;FireRed & LeafGreen;31;ex6;true;reverse;true;10/11/2004;01/09/2004;112;https://www.pokecardex.com/assets/images/logos/RFVF.png;https://images.pokemontcg.io/ex6/logo.png;https://images.pokemontcg.io/ex6/symbol.png;Ex
Légendes Oubliées;Hidden Legends;30;ex5;true;reverse;true;09/12/2005;01/06/2004;101;https://www.pokecardex.com/assets/images/logos/HL.png;https://images.pokemontcg.io/ex5/logo.png;https://images.pokemontcg.io/ex5/symbol.png;Ex
Team Magma vs Team Aqua;Team Magma vs Team Aqua;29;ex4;true;reverse;true;15/02/2005;01/03/2004;95;https://images.pokemontcg.io/ex4/logo.png;https://images.pokemontcg.io/ex4/logo.png;https://images.pokemontcg.io/ex4/symbol.png;Ex
Dragon;Dragon;28;ex3;true;reverse;true;28/08/2004;24/11/2003;97;https://images.pokemontcg.io/ex3/logo.png;https://images.pokemontcg.io/ex3/logo.png;https://images.pokemontcg.io/ex3/symbol.png;Ex
Tempête de Sable;Sandstorm;27;ex2;true;reverse;true;12/04/2004;18/09/2003;100;https://www.pokecardex.com/assets/images/logos/SS.png;https://images.pokemontcg.io/ex2/logo.png;https://images.pokemontcg.io/ex2/symbol.png;Ex
Rubis & Saphir;Ruby & Sapphire;26;ex1;true;reverse;true;12/12/2003;01/07/2003;109;https://www.pokecardex.com/assets/images/logos/RS.png;https://images.pokemontcg.io/ex1/logo.png;https://images.pokemontcg.io/ex1/symbol.png;Ex
Skyridge;Skyridge;25;ecard3;true;reverse;false;;12/05/2003;182;https://images.pokemontcg.io/ecard3/logo.png;https://images.pokemontcg.io/ecard3/logo.png;https://images.pokemontcg.io/ecard3/symbol.png;E-Card
Aquapolis;Aquapolis;24;ecard2;true;reverse;true;01/07/2003;15/01/2003;186;https://images.pokemontcg.io/ecard2/logo.png;https://images.pokemontcg.io/ecard2/logo.png;https://images.pokemontcg.io/ecard2/symbol.png;E-Card
Expedition;Expedition Base Set;23;ecard1;true;reverse;true;09/03/2003;15/09/2002;165;https://www.pokecardex.com/assets/images/logos/EX.png;https://images.pokemontcg.io/ecard1/logo.png;https://images.pokemontcg.io/ecard1/symbol.png;E-Card
Legendary Collection;Legendary Collection;22;base6;true;édition 1;false;;24/05/2002;110;https://images.pokemontcg.io/base6/logo.png;https://images.pokemontcg.io/base6/logo.png;https://images.pokemontcg.io/base6/symbol.png;Base
Neo Destiny;Neo Destiny;21;neo4;true;édition 1;true;01/06/2002;28/02/2002;113;https://images.pokemontcg.io/neo4/logo.png;https://images.pokemontcg.io/neo4/logo.png;https://images.pokemontcg.io/neo4/symbol.png;Neo
Neo Revelation;Neo Revelation;20;neo3;true;édition 1;true;01/01/2002;21/09/2001;66;https://images.pokemontcg.io/neo3/logo.png;https://images.pokemontcg.io/neo3/logo.png;https://images.pokemontcg.io/neo3/symbol.png;Neo
Neo Discovery;Neo Discovery;19;neo2;true;édition 1;true;15/10/2001;01/06/2001;75;https://images.pokemontcg.io/neo2/logo.png;https://images.pokemontcg.io/neo2/logo.png;https://images.pokemontcg.io/neo2/symbol.png;Neo
Neo Genesis;Neo Genesis;18;neo1;true;édition 1;true;20/05/2001;16/12/2000;111;https://images.pokemontcg.io/neo1/logo.png;https://images.pokemontcg.io/neo1/logo.png;https://images.pokemontcg.io/neo1/symbol.png;Neo
Gym Challenge;Gym Challenge;17;gym2;true;édition 1;false;;16/10/2000;132;https://images.pokemontcg.io/gym2/logo.png;https://images.pokemontcg.io/gym2/logo.png;https://images.pokemontcg.io/gym2/symbol.png;Gym
Gym Heroes;Gym Heroes;16;gym1;true;édition 1;false;;14/08/2000;132;https://images.pokemontcg.io/gym1/logo.png;https://images.pokemontcg.io/gym1/logo.png;https://images.pokemontcg.io/gym1/symbol.png;Gym
Team Rocket;Team Rocket;15;base5;true;édition 1;true;01/03/2001;24/04/2000;83;https://images.pokemontcg.io/base5/logo.png;https://images.pokemontcg.io/base5/logo.png;https://images.pokemontcg.io/base5/symbol.png;Base
Base Set 2;Base Set 2;14;base4;true;édition 1;false;;24/02/2000;130;https://www.pokecardex.com/assets/images/logos/BS2.png;https://images.pokemontcg.io/base4/logo.png;https://images.pokemontcg.io/base4/symbol.png;Base
Fossil;Fossil;13;base3;true;édition 1;true;01/11/2000;10/10/1999;62;https://www.pokecardex.com/assets/images/logos/FO.png;https://images.pokemontcg.io/base3/logo.png;https://images.pokemontcg.io/base3/symbol.png;Base
Jungle;Jungle;12;base2;true;édition 1;true;01/07/2000;16/06/1999;64;https://www.pokecardex.com/assets/images/logos/JU.png;https://images.pokemontcg.io/base2/logo.png;https://images.pokemontcg.io/base2/symbol.png;Base
Set de Base;Base;11;base1;true;édition 1;true;18/11/1999;09/01/1999;102;https://www.pokecardex.com/assets/images/logos/BS.png;https://images.pokemontcg.io/base1/logo.png;https://images.pokemontcg.io/base1/symbol.png;Base
Wizards Promos;Wizards Black Star Promos;10;basep;false;;true;09/01/1999;09/01/1999;53;https://www.pokecardex.com/assets/images/logos/BS.png;https://images.pokemontcg.io/basep/logo.png;https://images.pokemontcg.io/basep/symbol.png;Base
POP Series 9;POP Series 9;9;pop9;false;;true;01/03/2009;01/03/2009;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP9.jpg;https://images.pokemontcg.io/pop9/logo.png;https://images.pokemontcg.io/pop9/symbol.png;POP
POP Series 8;POP Series 8;8;pop8;false;;true;01/09/2008;01/09/2008;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP8.jpg;https://images.pokemontcg.io/pop8/logo.png;https://images.pokemontcg.io/pop8/symbol.png;POP
POP Series 7;POP Series 7;7;pop7;false;;true;01/03/2008;01/03/2008;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP7.jpg;https://images.pokemontcg.io/pop7/logo.png;https://images.pokemontcg.io/pop7/symbol.png;POP
POP Series 6;POP Series 6;6;pop6;false;;true;01/09/2007;01/09/2007;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP6.jpg;https://images.pokemontcg.io/pop6/logo.png;https://images.pokemontcg.io/pop6/symbol.png;POP
POP Series 5;POP Series 5;5;pop5;false;;true;01/03/2007;01/03/2007;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP5.jpg;https://images.pokemontcg.io/pop5/logo.png;https://images.pokemontcg.io/pop5/symbol.png;POP
POP Series 4;POP Series 4;4;pop4;false;;true;01/08/2006;01/08/2006;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP4.jpg;https://images.pokemontcg.io/pop4/logo.png;https://images.pokemontcg.io/pop4/symbol.png;POP
POP Series 3;POP Series 3;3;pop3;false;;true;01/04/2006;01/04/2006;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP3.jpg;https://images.pokemontcg.io/pop3/logo.png;https://images.pokemontcg.io/pop3/symbol.png;POP
POP Series 2;POP Series 2;2;pop2;false;;true;01/08/2005;01/08/2005;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP2.jpg;https://images.pokemontcg.io/pop2/logo.png;https://images.pokemontcg.io/pop2/symbol.png;POP
POP Series 1;POP Series 1;1;pop1;false;;true;01/09/2004;01/09/2004;17;https://www.pokecardex.com/assets/images/logos/accueil/jpg/POP1.jpg;https://images.pokemontcg.io/pop1/logo.png;https://images.pokemontcg.io/pop1/symbol.png;POP
