Visuels;Jap;bloc;rank;size;jap_release;code;ref_code;en_name;jap_name;promo;fr_name
;;Sword & Shield;263;;July 10, 2020;;;Metal Duraludon V Deck;Vスタートデッキ鋼ジュラルドン;true;
;;Sword & Shield;264;;July 10, 2020;;;Colorless Eevee V Deck;Vスタートデッキ無色イーブイ;true;
;;Sword & Shield;266;4;October 23, 2020;sp2;;VMAX Special Set;VMAXスペシャルセット;true;
;;Sword & Shield;268;;December 4, 2020;;;Venusaur & Blastoise VMAX Starter Sets;スターターセットVMAX フシギバナ&カメックス;true;
;;Sword & Shield;269;21;December 4, 2020;;;Venusaur VMAX Starter Set;スターターセットVMAX フシギバナ;true;
;;Sword & Shield;270;20;December 4, 2020;;;Blastoise VMAX Starter Set;スターターセットVMAX カメックス;true;
;;Legend;46;79;September 1, 2009;;;L-P Promotional cards;;;
;;Legend;49;;November 20, 2009;;;Battle Starter Decks;バトルスタートデッキ;;
;;Legend;50;10;November 20, 2009;;;Torterra Battle Starter Deck;;;
;;Legend;51;9;November 20, 2009;;;Magmortar Battle Starter Deck;;;
;;Legend;52;10;November 20, 2009;;;Blastoise Battle Starter Deck;;;
;;Legend;53;11;November 20, 2009;;;Raichu Battle Starter Deck;;;
;;Legend;54;;November 20, 2009;;;Leafeon vs Metagross Expert Deck;エキスパートデッキ リーフィアVSメタグロス;;
;;Legend;55;15;November 20, 2009;;;Leafeon Deck;;;
;;Legend;56;14;November 20, 2009;;;Metagross Deck;;;
;;Legend;59;19;February 11, 2010;;;Steelix Constructed Standard Deck;構築スタンダードデッキ ハガネール鋼;;
;;Legend;60;19;February 11, 2010;;;Tyranitar Constructed Standard Deck;構築スタンダードデッキ バンギラス悪;;
