Visuels;bloc;rank;size;jap_release;code;en_name;symbol_url;logo_url
Ok;Base;1;102;October 20, 1996;base1;Base Set;;
Ok;Base;2;48;March 5, 1997;base2;Jungle;https://cdn.bulbagarden.net/upload/thumb/2/2f/SetSymbolJungle.png/60px-SetSymbolJungle.png;
Ok;Base;3;48;June 21, 1997;base3;The Mystery of the Fossils;https://cdn.bulbagarden.net/upload/thumb/e/e6/SetSymbolFossil.png/60px-SetSymbolFossil.png;
Ok;Base;4;65;November 21, 1997;base4;Rocket Gang;https://cdn.bulbagarden.net/upload/thumb/7/7e/SetSymbolTeam_Rocket.png/60px-SetSymbolTeam_Rocket.png;
Ok;Gym;5;96;October 24, 1998;gym1;Leaders' Stadium;https://cdn.bulbagarden.net/upload/thumb/3/38/SetSymbolGym_Booster.png/60px-SetSymbolGym_Booster.png;
Ok;Gym;6;98;June 25, 1999;gym2;Challenge from the Darkness;https://cdn.bulbagarden.net/upload/thumb/3/38/SetSymbolGym_Booster.png/60px-SetSymbolGym_Booster.png;
Ok;Neo;7;96;December 10, 1999;neo1;Gold, Silver, to a New World...;https://cdn.bulbagarden.net/upload/thumb/7/75/SetSymbolNeo_Genesis.png/60px-SetSymbolNeo_Genesis.png;
Ok;Neo;8;57;July 7, 2000;neo2;Crossing the Ruins...;https://cdn.bulbagarden.net/upload/thumb/f/f8/SetSymbolNeo_Discovery.png/60px-SetSymbolNeo_Discovery.png;
Wip add urls;Neo;9;57;January 1, 2001;neo3;Awakening Legends;https://cdn.bulbagarden.net/upload/thumb/c/c6/SetSymbolNeo_Revelation.png/60px-SetSymbolNeo_Revelation.png;
;Neo;10;113;March 9, 2001;neo4;Darkness, and to Light...;https://cdn.bulbagarden.net/upload/thumb/8/88/SetSymbolNeo_Destiny.png/60px-SetSymbolNeo_Destiny.png;
;E-Card;11;151;August 19, 2001;ecardvs;Pokemon Card VS;https://cdn.bulbagarden.net/upload/c/c3/SetSymbolVS.png;https://pod.pokellector.com/logos/Pokemon-VS.logo.276.png
;E-Card;12;48;October 20, 2001;ecardweb;Pokemon Card Web;;https://cdn.bulbagarden.net/upload/e/e6/Web-Logo.png
;E-Card;13;128;December 1, 2001;ecard1;Base Expansion Pack;https://cdn.bulbagarden.net/upload/7/7f/SetSymbolBase_Expansion_Pack.png;
;E-Card;14;92;March 8, 2002;ecard2;The Town on No Map;https://cdn.bulbagarden.net/upload/d/de/SetSymbolThe_Town_on_No_Map.png;
;E-Card;15;87;May 24, 2002;ecard3;Wind from the Sea;https://cdn.bulbagarden.net/upload/1/15/SetSymbolWind_from_the_Sea.png;
;E-Card;16;88;August 24, 2002;ecard4;Split Earth;https://cdn.bulbagarden.net/upload/c/c6/SetSymbolSplit_Earth.png;
;E-Card;17;88;October 4, 2002;ecard5;Mysterious Mountains;https://cdn.bulbagarden.net/upload/5/50/SetSymbolMysterious_Mountains.png;
Ok;ADV;18;55;January 31, 2003;ex1;Expansion Pack;https://cdn.bulbagarden.net/upload/thumb/f/f2/SetSymbolRuby_and_Sapphire.png/60px-SetSymbolRuby_and_Sapphire.png;
Ok;ADV;19;53;April 18, 2003;ex2;Miracle of the Desert;https://cdn.bulbagarden.net/upload/thumb/6/6a/SetSymbolSandstorm.png/60px-SetSymbolSandstorm.png;
Ok;ADV;20;54;June 25, 2003;ex3;Rulers of the Heavens;https://cdn.bulbagarden.net/upload/thumb/0/08/SetSymbolDragon.png/60px-SetSymbolDragon.png;
Ok;ADV;21;80;October 24, 2003;ex4;Magma VS Aqua: Two Ambitions;https://cdn.bulbagarden.net/upload/thumb/b/b9/SetSymbolTeam_Magma_vs_Team_Aqua.png/60px-SetSymbolTeam_Magma_vs_Team_Aqua.png;
Ok;ADV;22;83;January 16, 2004;ex5;Undone Seal;https://cdn.bulbagarden.net/upload/thumb/6/66/SetSymbolHidden_Legends.png/60px-SetSymbolHidden_Legends.png;
Ok;PCG;23;82;April 9, 2004;ex6;Flight of Legends;https://cdn.bulbagarden.net/upload/1/1b/SetSymbolFlight_of_Legends.png;
Ok but 78 copycat;PCG;24;84;October 15, 2004;ex7;Rocket Gang Strikes Back;https://cdn.bulbagarden.net/upload/thumb/a/a0/SetSymbolTeam_Rocket_Returns.png/60px-SetSymbolTeam_Rocket_Returns.png;
Wip;PCG;25;82;July 1, 2004;ex8;Clash of the Blue Sky;https://cdn.bulbagarden.net/upload/thumb/7/73/SetSymbolDeoxys.png/60px-SetSymbolDeoxys.png;
Wip;PCG;26;106;April 8, 2005;ex9;Golden Sky, Silvery Ocean;https://cdn.bulbagarden.net/upload/thumb/6/63/SetSymbolUnseen_Forces.png/60px-SetSymbolUnseen_Forces.png;
Ok but 53 ditto;PCG;27;86;October 28, 2005;ex10;Holon Research Tower;https://cdn.bulbagarden.net/upload/thumb/1/14/SetSymbolDelta_Species.png/60px-SetSymbolDelta_Species.png;
Ok;PCG;28;86;June 30, 2005;ex11;Mirage Forest;https://cdn.bulbagarden.net/upload/thumb/2/2c/SetSymbolLegend_Maker.png/60px-SetSymbolLegend_Maker.png;
Ok;PCG;29;52;January 27, 2006;ex12;Holon Phantom;https://cdn.bulbagarden.net/upload/thumb/b/ba/SetSymbolHolon_Phantoms.png/60px-SetSymbolHolon_Phantoms.png;
Ok;PCG;30;75;March 10, 2006;ex13;Miracle Crystal;https://cdn.bulbagarden.net/upload/thumb/e/e9/SetSymbolCrystal_Guardians.png/60px-SetSymbolCrystal_Guardians.png;
Ok;PCG;31;68;June 29, 2006;ex14;Offense and Defense of the Furthest Ends;https://cdn.bulbagarden.net/upload/thumb/e/e3/SetSymbolDragon_Frontiers.png/60px-SetSymbolDragon_Frontiers.png;
Wip;PCG;32;108;July 5, 2007;ex15;World Champions Pack;https://cdn.bulbagarden.net/upload/thumb/5/5b/SetSymbolPower_Keepers.png/60px-SetSymbolPower_Keepers.png;
;Diamond & Pearl;33;122;November 30, 2006;dp1;Diamond and Pearl Collection;https://cdn.bulbagarden.net/upload/0/0d/SetSymbolSpace-Time_Creation.png;
;Diamond & Pearl;34;131;March 2, 2007;dp2;Secret of the Lakes;https://cdn.bulbagarden.net/upload/8/8f/SetSymbolSecret_of_the_Lakes.png;
;Diamond & Pearl;35;119;July 5, 2007;dp3;Shining Darkness;https://cdn.bulbagarden.net/upload/e/ef/SetSymbolShining_Darkness.png;
;Diamond & Pearl;36;70;October 26, 2007;dp4a;Moonlit Pursuit;https://cdn.bulbagarden.net/upload/2/2f/SetSymbolMoonlit_Pursuit_Dawn_Dash.png;
;Diamond & Pearl;37;70;October 26, 2007;dp4b;Dawn Dash;https://cdn.bulbagarden.net/upload/2/2f/SetSymbolMoonlit_Pursuit_Dawn_Dash.png;
;Diamond & Pearl;38;65;March 14, 2008;dp5a;Cry from the Mysterious;https://cdn.bulbagarden.net/upload/1/18/SetSymbolCry_from_the_Mysterious_Temple_of_Anger.png;
;Diamond & Pearl;39;65;March 14, 2008;dp5b;Temple of Anger;https://cdn.bulbagarden.net/upload/1/18/SetSymbolCry_from_the_Mysterious_Temple_of_Anger.png;
;Diamond & Pearl;40;92;July 10, 2008;dp6;Intense Fight in the Destroyed Sky;https://cdn.bulbagarden.net/upload/8/84/SetSymbolIntense_Fight_in_the_Destroyed_Sky.png;
;DPt;41;96;October 10, 2008;pt1;Galactic's Conquest;https://cdn.bulbagarden.net/upload/8/86/SetSymbolGalactic_Conquest.png;https://pod.pokellector.com/logos/Galactics-Conquest.logo.253.png
;DPt;42;90;December 26, 2008;pt2;Bonds to the End of Time;https://cdn.bulbagarden.net/upload/1/15/SetSymbolBonds_to_the_End_of_Time.png;https://pod.pokellector.com/logos/Bonds-to-the-End-of-Time.logo.254.png
;DPt;43;100;March 6, 2009;pt3;Beat of the Frontier;https://cdn.bulbagarden.net/upload/f/f3/SetSymbolBeat_of_the_Frontier.png;https://pod.pokellector.com/logos/Beat-of-the-Frontier.logo.255.png
;DPt;44;90;July 8, 2009;pt4;Advent of Arceus;https://cdn.bulbagarden.net/upload/4/4c/SetSymbolAdvent_of_Arceus.png;https://pod.pokellector.com/logos/Advent-of-Arceus.logo.256.png
;Legend;45;70;October 9, 2009;l1a;HeartGold Collection;https://cdn.bulbagarden.net/upload/1/1c/SetSymbolHeartGold_Collection.png;https://pod.pokellector.com/logos/HeartGold-Collection.logo.247.png
;Legend;46;70;October 9, 2009;l1b;SoulSilver Collection;https://cdn.bulbagarden.net/upload/e/ec/SetSymbolSoulSilver_Collection.png;https://pod.pokellector.com/logos/SoulSilver-Collection.logo.248.png
;Legend;47;40;January 1, 2010;ll;Lost Link;https://cdn.bulbagarden.net/upload/9/92/SetSymbolLost_Link.png;https://pod.pokellector.com/logos/Lost-Link.logo.251.png
;Legend;48;80;February 11, 2010;l2;Reviving Legends;https://cdn.bulbagarden.net/upload/8/85/SetSymbolReviving_Legends.png;https://pod.pokellector.com/logos/Reviving-Legends.logo.249.png
;Legend;49;80;July 8, 2010;l3;Clash at the Summit;https://cdn.bulbagarden.net/upload/3/3d/SetSymbolClash_at_the_Summit.png;https://pod.pokellector.com/logos/Clash-at-the-Summit.logo.250.png
;Black & White;50;53;December 17, 2010;bw1a;Black Collection;https://pod.pokellector.com/logos/Black-Collection.symbol.14.png;https://pod.pokellector.com/logos/Black-Collection.logo.14.png
;Black & White;51;53;December 17, 2010;bw1b;White Collection;https://pod.pokellector.com/logos/Black-Collection.symbol.14.png;https://pod.pokellector.com/logos/White-Collection.logo.15.png
;Black & White;52;66;July 15, 2011;bw2;Red Collection;https://pod.pokellector.com/logos/Red-Collection.symbol.17.png;https://pod.pokellector.com/logos/Red-Collection.logo.17.png
;Black & White;53;52;September 16, 2011;bw3a;Psycho Drive;https://pod.pokellector.com/logos/Psycho-Drive.symbol.19.png;https://pod.pokellector.com/logos/Psycho-Drive.logo.19.png
;Black & White;54;52;September 16, 2011;bw3b;Hail Blizzard;https://pod.pokellector.com/logos/Hail-Blizzard.symbol.18.png;https://pod.pokellector.com/logos/Hail-Blizzard.logo.18.png
;Black & White;55;69;December 16, 2011;bw4;Dark Rush;https://pod.pokellector.com/logos/Dark-Rush.symbol.20.png;https://pod.pokellector.com/logos/Dark-Rush.logo.20.png
;Black & White;56;50;March 16, 2012;bw5a;Dragon Blast;https://pod.pokellector.com/logos/Dragon-Blast.symbol.22.png;https://pod.pokellector.com/logos/Dragon-Blast.logo.22.png
;Black & White;57;50;March 16, 2012;bw5b;Dragon Blade;https://pod.pokellector.com/logos/Dragon-Blade.symbol.21.png;https://pod.pokellector.com/logos/Dragon-Blade.logo.21.png
;Black & White;58;59;July 13, 2012;bw6a;Freeze Bolt;https://pod.pokellector.com/logos/Freeze-Bolt.symbol.24.png;https://pod.pokellector.com/logos/Freeze-Bolt.logo.24.png
;Black & White;59;59;July 13, 2012;bw6b;Cold Flare;https://pod.pokellector.com/logos/Cold-Flare.symbol.23.png;https://pod.pokellector.com/logos/Cold-Flare.logo.23.png
;Black & White;60;70;September 14, 2012;bw7;Plasma Gale;https://pod.pokellector.com/logos/Plasma-Gale.symbol.12.png;https://pod.pokellector.com/logos/Plasma-Gale.logo.12.png
;Black & White;61;51;December 14, 2012;bw8a;Spiral Force;https://cdn.bulbagarden.net/upload/b/b5/SetSymbolSpiral_Force.png;https://pod.pokellector.com/logos/Spiral-Force.logo.27.png
;Black & White;62;51;December 14, 2012;bw8b;Thunder Knuckle;https://cdn.bulbagarden.net/upload/3/36/SetSymbolThunder_Knuckle.png;https://pod.pokellector.com/logos/Thunder-Knuckle.logo.28.png
;Black & White;63;76;March 15, 2013;bw9;Megalo Cannon;https://cdn.bulbagarden.net/upload/0/03/SetSymbolMegalo_Cannon.png;https://pod.pokellector.com/logos/Megalo-Cannon.logo.29.png
;Black & White;64;93;July 13, 2013;ebb;EX Battle Boost;https://cdn.bulbagarden.net/upload/f/f2/SetSymbolEX_Battle_Boost.png;https://pod.pokellector.com/logos/EX-Battle-Boost.logo.129.png
;XY;65;39;November 8, 2013;hxy;XY Beginning Set;https://pod.pokellector.com/logos/XY-Beginning-Set.symbol.146.png;https://pod.pokellector.com/logos/XY-Beginning-Set.logo.146.png
;XY;66;60;December 13, 2013;xy1a;Collection X;https://cdn.bulbagarden.net/upload/a/a1/SetSymbolCollection_X.png;https://pod.pokellector.com/logos/Collection-X.logo.139.png
;XY;67;60;December 13, 2013;xy1b;Collection Y;https://cdn.bulbagarden.net/upload/7/74/SetSymbolCollection_Y.png;https://pod.pokellector.com/logos/Collection-Y.logo.140.png
;XY;68;80;March 15, 2014;xy2;Wild Blaze;https://cdn.bulbagarden.net/upload/4/46/SetSymbolWild_Blaze.png;https://pod.pokellector.com/logos/Wild-Blaze.logo.152.png
;XY;69;96;June 14, 2014;xy3;Rising Fist;https://cdn.bulbagarden.net/upload/5/59/SetSymbolRising_Fist.png;https://pod.pokellector.com/logos/Rising-Fist.logo.157.png
;XY;70;88;September 13, 2014;xy4;Phantom Gate;https://cdn.bulbagarden.net/upload/2/22/SetSymbolPhantom_Gate.png;https://pod.pokellector.com/logos/Phantom-Gate.logo.160.png
;XY;71;70;December 13, 2014;xy5a;Gaia Volcano;https://cdn.bulbagarden.net/upload/0/09/SetSymbolGaia_Volcano.png;https://pod.pokellector.com/logos/Gaia-Volcano.logo.165.png
;XY;72;70;December 13, 2014;xy5b;Tidal Storm;https://cdn.bulbagarden.net/upload/f/fd/SetSymbolTidal_Storm.png;https://pod.pokellector.com/logos/Tidal-Storm.logo.164.png
;XY;73;34;January 30, 2015;cp1;Magma Gang vs Aqua Gang: Double Crisis;https://pod.pokellector.com/logos/Team-Magma-vs-Team-Aqua-Double-Crisis.symbol.168.png;https://pod.pokellector.com/logos/Team-Magma-vs-Team-Aqua-Double-Crisis.logo.168.png
;XY;74;78;March 14, 2015;xy6;Emerald Break;https://cdn.bulbagarden.net/upload/0/03/SetSymbolEmerald_Break.png;https://pod.pokellector.com/logos/Emerald-Break.logo.167.png
;XY;75;81;June 20, 2015;xy7;Bandit Ring;https://cdn.bulbagarden.net/upload/6/6d/SetSymbolBandit_Ring.png;https://pod.pokellector.com/logos/Bandit-Ring.logo.171.png
;XY;76;27;July 18, 2015;cp2;Legendary Holo Collection;https://pod.pokellector.com/logos/Legendary-Holo-Collection.symbol.173.png;https://pod.pokellector.com/logos/Legendary-Holo-Collection.logo.173.png
;XY;77;59;September 26, 2015;xy8a;Blue Impact;https://cdn.bulbagarden.net/upload/f/fc/SetSymbolBlue_Shock.png;https://pod.pokellector.com/logos/Blue-Impact.logo.176.png
;XY;78;59;September 26, 2015;xy8b;Red Flash;https://cdn.bulbagarden.net/upload/4/41/SetSymbolRed_Flash.png;https://pod.pokellector.com/logos/Red-Flash.logo.175.png
;XY;79;80;December 11, 2015;xy9;Rage of the Broken Sky;https://cdn.bulbagarden.net/upload/b/b1/SetSymbolRageBrokenHeavens.png;https://pod.pokellector.com/logos/Rage-of-the-Broken-Sky.logo.177.png
;XY;80;32;January 29, 2016;cp3;Pokekyun Collection;https://pod.pokellector.com/logos/Pokekyun-Collection.symbol.186.png;https://pod.pokellector.com/logos/Pokekyun-Collection.logo.186.png
;XY;81;72;February 27, 2016;20th;Starter Pack;https://cdn.bulbagarden.net/upload/4/47/SetSymbolBreakStarterPack.png;https://pod.pokellector.com/logos/Pokemon-Card-Game-Starter-Pack.logo.189.png
;XY;82;78;March 18, 2016;xy10;Awakening of Psychic Kings;https://cdn.bulbagarden.net/upload/d/d8/SetSymbolAwakeningPsychicKing.png;https://pod.pokellector.com/logos/Awakening-of-Psychic-Kings.logo.184.png
;XY;83;131;April 16, 2016;cp4;Premium Champion Pack: EX x M x BREAK;https://pod.pokellector.com/logos/Premium-Champion-Pack-EX-x-M-x-BREAK.symbol.185.png;https://pod.pokellector.com/logos/Premium-Champion-Pack-EX-x-M-x-BREAK.logo.185.png
;XY;84;54;June 17, 2016;xy11a;Ruthless Rebel;https://cdn.bulbagarden.net/upload/a/a1/SetSymbolCruelTraitor.png;https://pod.pokellector.com/logos/Ruthless-Rebel.logo.193.png
;XY;85;54;June 17, 2016;xy11b;Explosive Warrior;https://cdn.bulbagarden.net/upload/a/ae/SetSymbolFeverBurstFighter.png;https://pod.pokellector.com/logos/Explosive-Warrior.logo.194.png
;XY;86;36;July 16, 2016;cp5;Mythical / Legendary Dream Holo Collection;https://pod.pokellector.com/logos/Mythical-Legendary-Dream-Holo-Collection.symbol.195.png;https://pod.pokellector.com/logos/Mythical-Legendary-Dream-Holo-Collection.logo.195.png
;XY;87;87;September 16, 2016;cp6;Expansion Pack 20th Anniversary;https://pod.pokellector.com/logos/20th-Anniversary-Collection.symbol.198.png;https://pod.pokellector.com/logos/20th-Anniversary-Collection.logo.198.png
;XY;88;171;April 21, 2017;xy;The Best of XY;https://pod.pokellector.com/logos/The-Best-of-XY.symbol.223.png;https://pod.pokellector.com/logos/The-Best-of-XY.logo.223.png
