Visuels;bloc;rank;size;jap_release;code;en_name;symbol_url;logo_url
;Sun & Moon;89;60;December 9, 2016;sm1s;Collection Sun;https://cdn.bulbagarden.net/upload/6/61/SetSymbolCollection_Sun.png;https://pod.pokellector.com/logos/Collection-Sun.logo.201.png
;Sun & Moon;90;60;December 9, 2016;sm1m;Collection Moon;https://cdn.bulbagarden.net/upload/4/4c/SetSymbolCollection_Moon.png;https://pod.pokellector.com/logos/Collection-Moon.logo.202.png
;Sun & Moon;91;50;March 17, 2017;sm2k;Islands Await You;https://cdn.bulbagarden.net/upload/2/25/SetSymbolIslands_Await_You.png;https://pod.pokellector.com/logos/Islands-Awaiting-You.logo.211.png
;Sun & Moon;92;50;March 17, 2017;sm2l;Alolan Moonlight;https://cdn.bulbagarden.net/upload/2/24/SetSymbolAlolan_Moonlight.png;https://pod.pokellector.com/logos/Alola-Moonlight.logo.210.png
;Sun & Moon;93;51;June 16, 2017;sm3h;Rainbow Battle;https://cdn.bulbagarden.net/upload/c/c8/SetSymbolTo_Have_Seen_the_Battle_Rainbow.png;https://pod.pokellector.com/logos/Seen-the-Rainbow-Battle.logo.219.png
;Sun & Moon;94;51;June 16, 2017;sm3n;Consuming Darkness;https://cdn.bulbagarden.net/upload/6/62/SetSymbolDarkness_that_Consumes_Light.png;https://pod.pokellector.com/logos/Light-Consuming-Darkness.logo.218.png
;Sun & Moon;95;72;July 15, 2017;sm3+;Strength Expansion Pack Shining Legends;https://cdn.bulbagarden.net/upload/9/97/SetSymbolShiningLegends.png;https://pod.pokellector.com/logos/Strengthening-Expansion-Pack-Shining-Legends.logo.224.png
;Sun & Moon;96;50;September 15, 2017;sm4s;The Awoken Hero;https://cdn.bulbagarden.net/upload/8/81/SetSymbolAwakened_Heroes.png;https://pod.pokellector.com/logos/The-Awoken-Hero.logo.226.png
;Sun & Moon;97;50;September 15, 2017;sm4a;The Transdimensional Beast;https://cdn.bulbagarden.net/upload/c/cb/SetSymbolUltradimensional_Beasts.png;https://pod.pokellector.com/logos/The-Transdimensional-Beast.logo.227.png
;Sun & Moon;98;114;October 20, 2017;sm4+;GX Battle Boost;https://pod.pokellector.com/logos/GX-Battle-Boost.symbol.228.png;https://pod.pokellector.com/logos/GX-Battle-Boost.logo.228.png
;Sun & Moon;99;66;December 8, 2017;sm5s;Ultra Sun;https://cdn.bulbagarden.net/upload/6/6c/SetSymbolUltraSun.png;https://pod.pokellector.com/logos/Ultra-Sun.logo.232.png
;Sun & Moon;100;66;December 8, 2017;sm5m;Ultra Moon;https://cdn.bulbagarden.net/upload/d/dc/SetSymbolUltraMoon.png;https://pod.pokellector.com/logos/Ultra-Moon.logo.233.png
;Sun & Moon;101;50;January 19, 2018;sm5+;Ultra Force;https://pod.pokellector.com/logos/Ultra-Force.symbol.238.png;https://pod.pokellector.com/logos/Ultra-Force.logo.238.png
;Sun & Moon;102;94;March 2, 2018;sm6;Forbidden Light;https://cdn.bulbagarden.net/upload/b/be/SetSymbolForbiddenLight.png;https://pod.pokellector.com/logos/Forbidden-Light.logo.235.png
;Sun & Moon;103;53;April 6, 2018;sm6a;Dragon Storm;https://cdn.bulbagarden.net/upload/5/5a/SetSymbolDragonStorm.png;https://pod.pokellector.com/logos/Dragon-Storm.logo.236.png
;Sun & Moon;104;66;May 3, 2018;sm6b;Champion Road;https://pod.pokellector.com/logos/Champion-Road.symbol.237.png;https://pod.pokellector.com/logos/Champion-Road.logo.237.png
;Sun & Moon;105;96;June 1, 2018;sm7;Sky-Splitting Charisma;https://cdn.bulbagarden.net/upload/5/52/SetSymbolSky-Splitting_Charisma.png;https://pod.pokellector.com/logos/Charisma-of-the-Cracked-Sky.logo.242.png
;Sun & Moon;106;60;July 6, 2018;sm7a;Thunderclap Spark;https://pod.pokellector.com/logos/Thunderclap-Spark.symbol.243.png;https://pod.pokellector.com/logos/Thunderclap-Spark.logo.243.png
;Sun & Moon;107;50;August 3, 2018;sm7b;Fairy Rise;https://pod.pokellector.com/logos/Fairy-Rise.symbol.240.png;https://pod.pokellector.com/logos/Fairy-Rise.logo.240.png
;Sun & Moon;108;111;September 7, 2018;sm8;Explosive Impact;https://cdn.bulbagarden.net/upload/f/f8/SetSymbolSuper-Burst_Impact.png;https://pod.pokellector.com/logos/Explosive-Impact.logo.258.png
;Sun & Moon;109;52;October 5, 2018;sm8a;Dark Order;https://pod.pokellector.com/logos/Dark-Order.symbol.245.png;https://pod.pokellector.com/logos/Dark-Order.logo.245.png
;Sun & Moon;110;150;November 2, 2018;sm8b;Ultra Shiny GX;https://cdn.bulbagarden.net/upload/f/fd/SetSymbolGX_Ultra_Shiny.png;https://pod.pokellector.com/logos/Ultra-Shiny-GX.logo.241.png
;Sun & Moon;111;95;December 7, 2018;sm9;Tag Bolt;https://cdn.bulbagarden.net/upload/8/82/SetSymbolTag_Bolt.png;https://pod.pokellector.com/logos/Tag-Bolt.logo.260.png
;Sun & Moon;112;55;January 11, 2019;sm9a;Night Unison;https://pod.pokellector.com/logos/Night-Unison.symbol.262.png;https://pod.pokellector.com/logos/Night-Unison.logo.262.png
;Sun & Moon;113;54;February 1, 2019;sm9b;Full Metal Wall;https://pod.pokellector.com/logos/Full-Metal-Wall.symbol.263.png;https://pod.pokellector.com/logos/Full-Metal-Wall.logo.263.png
;Sun & Moon;114;95;March 1, 2019;sm10;Double Blaze;https://cdn.bulbagarden.net/upload/7/7d/SetSymbolDouble_Blaze.png;https://pod.pokellector.com/logos/Double-Blaze.logo.266.png
;Sun & Moon;115;54;April 5, 2019;sm10a;GG End;https://pod.pokellector.com/logos/GG-End.symbol.267.png;https://pod.pokellector.com/logos/GG-End.logo.267.png
;Sun & Moon;116;54;April 26, 2019;sm10b;Sky Legends;https://pod.pokellector.com/logos/Sky-Legends.symbol.268.png;https://pod.pokellector.com/logos/Sky-Legends.logo.268.png
;Sun & Moon;117;24;April 26, 2019;smp2;Detective Pikachu;https://cdn.bulbagarden.net/upload/3/36/SetSymbolGreat_Detective_Pikachu.png;https://pod.pokellector.com/logos/Detective-Pikachu.logo.271.png
;Sun & Moon;118;94;May 31, 2019;sm11;Miracle Twins;https://cdn.bulbagarden.net/upload/5/50/SetSymbolMiracle_Twin.png;https://pod.pokellector.com/logos/Miracle-Twins.logo.277.png
